,element_type,osmid,name,geometry,passengers
63,node,402986884,Osterwiese,POINT (10.3746107 53.2148267),6
64,node,403012178,Klosterweg,POINT (10.371994 53.2117385),2
65,node,3348587797,Ginsterweg,POINT (10.3959836 53.2326736),11
66,node,1057013365,Am Schwalbenberg,POINT (10.4223308 53.2459133),10
67,node,262253660,Wallstraße (Theater),POINT (10.4072015 53.245682),14
68,node,539018433,Postamt,POINT (10.4038332 53.2429593),10
69,node,297426712,Hasenburg,POINT (10.3940989 53.2255233),8
70,node,389948830,Eintracht Sportplatz,POINT (10.3854737 53.2211913),11
71,node,402916911,Am Bahnhof Rettmer,POINT (10.3816755 53.21947),8
72,node,403012164,Wiesengrund,POINT (10.3746747 53.2134269),2
73,node,2618162533,Pilgerpfad,POINT (10.3783934 53.2099019),10
74,node,7799257024,Am Wischfeld,POINT (10.3882696 53.2112187),5
75,node,3267192184,Hessenweg (Mitte),POINT (10.3879839 53.2138366),10
76,node,393498311,Am Bäckfeld,POINT (10.3886319 53.2166547),3
77,node,402916874,Häcklinger Weg,POINT (10.387037 53.2197354),7
78,node,353270704,B 4 Parkplatz,POINT (10.345182 53.3345096),9
79,node,268415869,Stadttheater,POINT (10.4076949 53.2439859),15
80,node,2907063685,Sültenweg,POINT (10.3929476 53.244192),4
81,node,318640483,Am Grasweg,POINT (10.3881566 53.2461189),6
82,node,382390327,Jägerstraße,POINT (10.3847644 53.2489566),6
83,node,268233024,Johanna-Stegen-Straße,POINT (10.3874009 53.2494991),9
84,node,178848802,Vor dem Neuen Tore,POINT (10.3924213 53.2500778),4
85,node,828077495,Dörnbergstraße,POINT (10.3938125 53.2511306),15
86,node,308648777,Witzendorffstraße,POINT (10.3923654 53.2565779),10
87,node,4827722223,Ebelingweg,POINT (10.3911893 53.2614652),10
88,node,414191921,Naruto-Straße,POINT (10.3852786 53.2693964),14
89,node,381911675,Krähornsberg,POINT (10.3867792 53.2706226),13
90,node,414237511,Teilfeld,POINT (10.3895463 53.2794573),8
91,node,2371152648,Wilhelm-Hänel-Weg,POINT (10.4044742 53.2699592),11
92,node,317133890,Am Wildgehege,POINT (10.3891011 53.2686373),8
93,node,1037002221,Laffertstraße,POINT (10.3930618 53.255513),5
94,node,293976961,Schomakerstraße,POINT (10.3996894 53.2540821),14
95,node,178844318,Am Springintgut,POINT (10.4002528 53.2521255),8
96,node,121149168,Am Graalwall,POINT (10.4027651 53.2509053),14
97,node,2990731692,Neue Sülze,POINT (10.4040892 53.2478008),19
98,node,262253493,Lambertiplatz,POINT (10.4031072 53.2456516),12
99,node,262229788,Rathaus,POINT (10.4068106 53.2506572),0
100,node,181308509,Kefersteinstraße (UNI),POINT (10.4102138 53.2406193),10
101,node,109895066,Gut Willerding,POINT (10.4566119 53.225116),7
102,node,385545644,Bahnhof,POINT (10.4336107 53.2000625),5
103,node,385545626,Von-Kleist-Weg,POINT (10.4311623 53.1971633),9
104,node,1834313719,"Deutsch Evern, Fritz-Reuter-Straße",POINT (10.4284361 53.1939183),6
105,node,1834313713,"Deutsch Evern, Friedhof",POINT (10.4232358 53.1924397),7
106,node,420381006,Deutsch Everner Weg,POINT (10.4159088 53.1860963),4
107,node,385545545,"Deutsch Evern, An der Ilmenau",POINT (10.4196648 53.1957057),3
108,node,393415825,"Deutsch Evern, Wandelfeld",POINT (10.4201711 53.1978557),6
109,node,385545543,"Deutsch Evern, Finkenstieg",POINT (10.4204929 53.2018114),6
110,node,385545536,"Deutsch Evern, Petersberg",POINT (10.4170104 53.2056615),4
111,node,272618493,"Deutsch Evern, Am Tiergarten",POINT (10.4186211 53.2073704),7
112,node,7462422450,"Deutsch Evern, Tiergartenstraße",POINT (10.4293826 53.2061751),7
113,node,309179087,"Deutsch Evern, Birkenweg",POINT (10.4432816 53.2042662),7
114,node,5254285882,Schützenstraße,POINT (10.4452134 53.2035664),4
115,node,2316338604,Im Alten Dorfe,POINT (10.2968669 53.2083215),13
116,node,181396837,Am Kreideberg,POINT (10.4042363 53.255164),9
117,node,181396824,Stöteroggestraße (Süd),POINT (10.4020549 53.2556211),8
118,node,500905961,Boizenburger Straße,POINT (10.3989629 53.2574691),7
119,node,1029618352,Thorner Straße (West),POINT (10.3943921 53.2585943),13
120,node,312506373,Thorner Platz,POINT (10.3997927 53.2595982),0
121,node,253248083,Salzwedeler Straße,POINT (10.4032549 53.2606612),9
122,node,312510075,Elbinger Straße,POINT (10.4028514 53.2627146),2
123,node,312510076,Dessauer Straße,POINT (10.401462 53.2641491),11
124,node,534870775,Magdeburger Straße,POINT (10.3993732 53.266558),8
125,node,534870781,Stöteroggestraße (Nord),POINT (10.3993537 53.2644566),10
126,node,2537095304,Brücke,POINT (10.3810417 53.331609),12
127,node,408449519,Hasenburger Weg,POINT (10.3832526 53.2287752),14
128,node,1678365436,Wallstraße,POINT (10.3864893 53.3009499),8
129,node,312185027,Elba,POINT (10.4271323 53.2961666),0
130,node,9028646324,Landwehrplatz,POINT (10.3574147 53.2479717),11
131,node,443886412,Bardowicker Straße,POINT (10.5031696 53.2949054),6
132,node,344892589,Lübbelau,POINT (10.4989646 53.2938205),8
133,node,286511203,Finkenweg,POINT (10.3619305 53.2704586),13
134,node,314645636,"Lemgrabe, Am Hasenberg",POINT (10.7044397 53.1711381),6
135,node,1599089598,Lilienthalstraße,POINT (10.4599879 53.2437212),5
136,node,1599748806,Von-Stern-Straße,POINT (10.4625961 53.245733),5
137,node,119994771,Eisenwerk,POINT (10.4692372 53.249358),8
138,node,7819577982,Gebrüder-Heyn-Straße,POINT (10.4656699 53.248161),3
139,node,373161834,Hagen-Schule,POINT (10.4473637 53.2440639),4
140,node,119100610,Wacholderweg,POINT (10.4425033 53.2452459),6
141,node,301874635,Ahornweg,POINT (10.4381585 53.2465445),10
142,node,672754332,Adendorfer Straße,POINT (10.5003095 53.2907226),5
143,node,494088099,Boltersener Straße,POINT (10.5367548 53.2835213),7
144,node,4346393490,"Boltersen, Rullstorfer Straße",POINT (10.5655161 53.2754359),5
145,node,324239002,Nutzfelder Weg,POINT (10.5301085 53.2861568),5
146,node,1050068557,Hauptstraße,POINT (10.5054053 53.2911209),10
147,node,2869209506,Sportzentrum,POINT (10.4553245 53.2890979),0
148,node,476600749,Grundschule,POINT (10.5095283 53.2926817),7
149,node,304638989,Weinbergsweg Schule,POINT (10.4327074 53.2822368),0
150,node,339024845,Meisterstraße,POINT (10.5102281 53.2939604),2
151,node,489755319,Jürgenstorfer Straße,POINT (10.5973461 53.3233128),7
152,node,30093348,K 2 / Zum Bahnhof,POINT (10.528343 53.2892813),5
153,node,1204223255,Alte Dorfstraße,POINT (10.5397765 53.2891528),9
154,node,567004808,"Scharnebeck, Echemer Straße",POINT (10.5057743 53.297607),0
155,node,1086281126,"Lentenau, K28",POINT (10.5054742 53.2755473),3
156,node,5113420637,"Reinstorf, Reinstorfer Kreuz",POINT (10.5684264 53.220633),11
157,node,416969347,Im Sande,POINT (10.2803467 53.2301573),10
158,node,266917632,Kirche,POINT (10.2939288 53.2303584),0
159,node,8708546811,Im Wiesengrund,POINT (10.3009457 53.2311062),9
160,node,3060045192,Landwehr,POINT (10.3957654 53.2839468),6
161,node,454631858,Hagemannsweg,POINT (10.3983505 53.2810195),7
162,node,417443430,Schulzentrum,POINT (10.4967743 53.2896025),0
163,node,1705557196,Floetstraße,POINT (10.4091665 53.1800477),8
164,node,277399793,Rote Schleuse,POINT (10.410347 53.2094935),4
165,node,8524206695,"Melbeck, Uelzener Straße",POINT (10.4178352 53.1752435),5
166,node,3037235993,Bernhard-Riemann-Straße,POINT (10.4054578 53.22347),7
167,node,244401296,Von-Stauffenberg-Straße,POINT (10.4401651 53.282214),0
168,node,301562193,Rauher Weg,POINT (10.434875 53.276487),1
169,node,558971480,"Heiligenthal, Ort",POINT (10.3359066 53.2202422),6
170,node,470937620,In de Tüünen,POINT (10.336901 53.2195772),9
171,node,503301564,Heiligenthaler Straße,POINT (10.3021503 53.2287282),6
172,node,564137024,"Melbeck, Danziger Straße",POINT (10.3722583 53.1809678),7
173,node,577366509,"Embsen, Siedlung",POINT (10.3612379 53.1806562),9
174,node,287098768,Kulturforum Wienebüttel,POINT (10.3744107 53.2644052),0
175,node,577733836,"Brietlingen, Schierenweg",POINT (10.4343011 53.3141351),4
176,node,382009302,"Brietlingen, Moorweg",POINT (10.4397463 53.3174256),2
177,node,309229350,Ritzkamper Weg,POINT (10.4574358 53.327569),5
178,node,346183779,Schwarzer Weg,POINT (10.428384 53.2715467),8
179,node,302310334,Gut Olm,POINT (10.4541438 53.2614926),4
180,node,7051227607,Abzweigung Ebensberg,POINT (10.4600774 53.2637503),7
181,node,4338084488,Erbstorfer Landstraße,POINT (10.4778683 53.2739834),2
182,node,988590957,Hölderlinstraße,POINT (10.4436723 53.2608865),3
183,node,290823819,"Wendewisch, Campingplatz",POINT (10.6501668 53.3587971),0
184,node,1049251506,"Riecklingen, Abzweigung",POINT (10.7099559 53.205882),3
185,node,317985520,Leestahl 2,POINT (10.6997246 53.2079337),5
186,node,1854036439,Am Kirchkamp,POINT (10.6965007 53.1789467),4
187,node,121136981,Schule A,POINT (10.5369096 53.2254603),4
188,node,277260345,"Embsen, Bahnhofstraße",POINT (10.3454169 53.177286),2
189,node,663386180,"Embsen, Querlberg",POINT (10.3510466 53.1737042),5
190,node,413541248,"Horndorf, Zur Doven Elbe",POINT (10.5885781 53.2144044),3
191,node,8716573169,"Reinstorf, Hauptstraße",POINT (10.5723353 53.2342885),8
192,node,1509822736,Forsthaus,POINT (10.3455259 53.1658521),10
193,node,8717776249,"Barum, Abzweig Horburg",POINT (10.404422 53.353689),10
194,node,9028751775,"Barum, Am See",POINT (10.411604 53.3506593),7
195,node,5239244504,"Oerzen, Fliederstraße",POINT (10.327642 53.1921149),9
196,node,2075922410,Hohe Luft,POINT (10.4174102 53.1751221),7
197,node,277404766,"Bavendorf, Im Dorfe",POINT (10.6393535 53.1958992),5
198,node,109400356,"Reinstorf, Am Vitusbach",POINT (10.5723556 53.2346506),10
199,node,317549254,Neumühlener Weg,POINT (10.5683419 53.289706),3
200,node,728601562,Möhlenkamp,POINT (10.5603385 53.2898973),0
201,node,2117470702,Auf der Hausstelle,POINT (10.4764512 53.217232),0
202,node,114244030,Feuerwehr,POINT (10.4695606 53.2158292),5
203,node,1736935361,Ostlandring,POINT (10.4399979 53.242081),5
204,node,285670612,Freibad,POINT (10.4423226 53.2409945),1
205,node,7087531166,Kreuzkamp,POINT (10.4364118 53.286404),1
206,node,395382564,Robert-Koch-Straße,POINT (10.4528497 53.2840109),1
207,node,178823219,Friedhof,POINT (10.4481389 53.2855037),1
208,node,392592179,Heinrich Heine Siedlung,POINT (10.464871 53.2786754),0
209,node,395382514,An der Bünte,POINT (10.4601337 53.2803412),0
210,node,3082975140,Heinrich-Hille-Straße,POINT (10.4428154 53.2861609),0
211,node,1119349016,Weinbergsweg,POINT (10.4327 53.2853082),0
212,node,339316060,"Radenbeck, Linnenkamp",POINT (10.6277678 53.2215393),11
213,node,9029022165,"Radenbeck, Dorfstraße",POINT (10.6301273 53.224299),5
214,node,8192691432,Siedlung,POINT (10.5916573 53.2412736),4
215,node,376360688,"Brietlingen, Am Sportplatz",POINT (10.436449 53.3191189),6
216,node,3206896896,Goebelstraße,POINT (10.4167169 53.26866),6
217,node,2681822369,"Echem, Schulstraße",POINT (10.5430609 53.3376807),7
218,node,301562204,Grüner Weg,POINT (10.432352 53.272947),1
219,node,301562172,Lindenweg,POINT (10.4380841 53.2730333),0
220,node,2362894581,Otto-Brenner-Straße (Kehre),POINT (10.4837546 53.2364276),7
221,node,382011053,"Brietlingen, Stettiner Ring",POINT (10.4441547 53.3134023),7
222,node,7207493398,Sternkamp,POINT (10.4057395 53.2669292),4
223,node,288004885,Kirchweg,POINT (10.436374 53.278698),0
224,node,301881047,Bunsenstraße,POINT (10.4412818 53.2495011),4
225,node,275637762,Bachstraße,POINT (10.4400425 53.2473918),7
226,node,369971304,Rosenkamp,POINT (10.3790788 53.2244958),10
227,node,1602198371,Schmiedestraße,POINT (10.3767866 53.2247574),16
228,node,369971275,Rehrweg,POINT (10.3725779 53.2263697),10
229,node,452899291,"Wittorf, Wiesenstraße",POINT (10.3800426 53.3322006),0
230,node,382390323,Volgershall/UNI,POINT (10.3840653 53.249349),2
231,node,113588289,Städtisches Klinikum,POINT (10.397306 53.2407753),7
232,node,489755257,"Lüdersburg, Kirchtwiete",POINT (10.5738389 53.3204039),7
233,node,260371872,Abzweigung Jürgenstorf,POINT (10.5951755 53.3304483),4
234,node,1524824915,Melbeck Grundschule,POINT (10.404557 53.1787734),0
235,node,294218205,Gifkendorf,POINT (10.5503194 53.1892645),2
236,node,297767103,B 209,POINT (10.4945384 53.3681692),8
237,node,319171756,Gerhart-Hauptmann-Straße,POINT (10.3395324 53.2463836),18
238,node,355263024,Händelstraße,POINT (10.3420038 53.2517922),8
239,node,355265900,Alter Postweg,POINT (10.3435316 53.2525452),13
240,node,357421278,Lessingstraße,POINT (10.3398479 53.2496234),14
241,node,359603064,Am Fuchsberg,POINT (10.3473817 53.2531473),12
242,node,336245617,Im Westerfelde,POINT (10.349476 53.2522281),11
243,node,301866124,Behördenzentrum (Ost),POINT (10.4313902 53.2509696),4
244,node,484379283,Psychiatrische Klinik,POINT (10.3880794 53.2543494),7
245,node,386775036,Am Bruch,POINT (10.3319859 53.3020685),0
246,node,1603400020,Bei der Pferdehütte,POINT (10.4047332 53.2741646),0
247,node,318656446,Alec-Moore-Straße,POINT (10.3812801 53.2465139),7
248,node,89367284,Am Bargenturm,POINT (10.3985975 53.2452478),8
249,node,318404239,Heidkoppelweg,POINT (10.4689526 53.2613986),8
250,node,318404242,Memeler Straße,POINT (10.4680489 53.2602671),8
251,node,318656460,William-Watt-Straße,POINT (10.38069 53.2448537),8
252,node,281778288,Allensteiner Straße,POINT (10.463416 53.2641335),10
253,node,275642168,"Erbstorf, Wendeplatz",POINT (10.4763614 53.2737862),0
254,node,178849093,Jüttkenmoor,POINT (10.3849708 53.2479273),8
255,node,419272371,Am Ziegeleiteich,POINT (10.4720436 53.2599796),5
256,node,357349548,Ostlandstraße (Schule),POINT (10.3500738 53.2485861),7
257,node,262620087,Schnellenberger Weg,POINT (10.3639159 53.2477958),10
258,node,357417529,Ostlandstraße Spielplatz,POINT (10.3433004 53.2483843),9
259,node,336407095,Am Lerchenberg,POINT (10.3674726 53.2470042),8
260,node,5363848753,Am Schwarzen Berg,POINT (10.3434432 53.2453669),11
261,node,430344880,Steinweg,POINT (10.4425957 53.2755805),1
262,node,3082975156,Im Gutspark,POINT (10.4468141 53.286184),0
263,node,430344915,Virchowstraße,POINT (10.4469601 53.2814563),2
264,node,409100826,Teichaue,POINT (10.449058 53.2865534),0
265,node,312184964,Moorchaussee,POINT (10.4478643 53.2889918),0
266,node,3119436266,Kastanienallee,POINT (10.454844 53.2839238),0
267,node,3119436360,Katzenweg,POINT (10.4572671 53.2868678),1
268,node,7607589705,Friedrich-Ludwig-Jahn-Straße,POINT (10.4083952 53.235035),11
269,node,111246659,Rotes Tor,POINT (10.4097351 53.2437968),8
270,node,195848633,Goethestraße,POINT (10.4104754 53.2351006),7
271,node,208986248,Hagen Wendeplatz,POINT (10.4519518 53.2428075),0
272,node,317279940,Hopfengarten,POINT (10.4278875 53.2510849),9
273,node,268638460,Wielandstraße,POINT (10.4108562 53.2377319),13
274,node,120036482,Hans-Steffens-Weg,POINT (10.4349723 53.2509447),8
275,node,322053497,Gaußstraße,POINT (10.4047485 53.222771),15
276,node,273712613,Heinrich-Böll-Straße,POINT (10.4039471 53.2267352),7
277,node,275907714,Carl-von-Ossietzky-Straße,POINT (10.4015929 53.2275296),6
278,node,3087504050,Otto-Brenner-Straße,POINT (10.478437 53.2423045),6
279,node,119994939,Flugplatz,POINT (10.4592049 53.2448717),5
280,node,373161853,Walter-Bötcher-Straße,POINT (10.4459578 53.2455633),3
281,node,302304521,Stadtkoppel,POINT (10.4492537 53.2461948),2
282,node,7043202191,Kurt-Höbold-Straße,POINT (10.4778019 53.2402935),4
283,node,2843007891,Richard-Brauer-Straße,POINT (10.4429666 53.2447657),0
284,node,3699972417,Elso-Klöver-Straße,POINT (10.477347 53.2465791),0
285,node,301866208,Gellersstraße,POINT (10.4300483 53.2478555),13
286,node,7043202216,Wilhelm-Fressel-Straße,POINT (10.4760492 53.2390287),4
287,node,5849955401,Große Hof,POINT (10.3745541 53.1342237),9
288,node,8526782425,Abzw. Betzendorf,POINT (10.3727202 53.1351636),10
289,node,196043670,Schildsteinweg,POINT (10.3914278 53.2407532),5
290,node,976986466,Bauerholzweg,POINT (10.3722547 53.1388961),8
291,node,276968755,Kampweg,POINT (10.382554 53.1578114),8
292,node,511089699,Wiesenweg,POINT (10.3829747 53.1602771),3
293,node,976986438,Mühlenberg,POINT (10.3710862 53.1423653),7
294,node,277261028,Bokenkamp,POINT (10.3636165 53.1457606),7
295,node,302887839,Finanzamt,POINT (10.4121817 53.2554488),0
296,node,313957909,Auf dem Schmaarkamp,POINT (10.4105509 53.2603115),6
297,node,1588318071,Auf der Hude,POINT (10.4136152 53.2583328),4
298,node,2041723022,Tennispark,POINT (10.3849925 53.2598361),1
299,node,1305577576,Kiefernweg,POINT (10.3526052 53.2753237),12
300,node,287098772,Brockwinkler Weg,POINT (10.3866216 53.256493),4
301,node,286287619,Dachtmisser Weg,POINT (10.3477471 53.2780348),10
302,node,703728543,Niendorfer Weg,POINT (10.4727397 53.2140252),4
303,node,7284444420,Große Straße,POINT (10.4871138 53.3709802),5
304,node,311219666,"Göddingen, Wöppenberg",POINT (10.7610009 53.2566452),3
305,node,311219673,"Göddingen, Am Fischteich",POINT (10.7642906 53.2535523),0
306,node,7023976079,Neu Oerzen,POINT (10.3184746 53.1792981),6
307,node,8708023922,"Wendhausen, Im Ort",POINT (10.5670338 53.2506276),1
308,node,8390221907,"Melbeck, Gymnasium",POINT (10.4156375 53.1785399),0
309,node,1624952652,Ebstorfer Straße,POINT (10.4043018 53.1789627),0
310,node,185936322,"Barendorf, Dorfstraße",POINT (10.5212258 53.2244543),3
311,node,1602107135,Neu Häcklingen,POINT (10.4055348 53.2094134),8
312,node,5234486266,Am Rischpool,POINT (10.3791154 53.1810146),7
313,node,942482191,Robert-Schumann-Straße,POINT (10.433913 53.2900786),0
314,node,387439300,Königsberger Weg,POINT (10.4398725 53.2834046),0
315,node,445774035,Kornblumenweg,POINT (10.4327786 53.2876679),0
316,node,302900001,Röthenweg,POINT (10.4327278 53.2859085),0
317,node,313954414,Zeltberg,POINT (10.4069669 53.2650556),8
318,node,7510268775,Dorfplatz,POINT (10.3501768 53.2783682),5
319,node,287436861,Am Stadtberg,POINT (10.3588328 53.2733993),9
320,node,4065795354,Pumpenstation,POINT (10.3675583 53.2652064),6
321,node,286287601,Friedhofsweg,POINT (10.3471319 53.2765812),11
322,node,319992028,Heimathaus,POINT (10.7250696 53.2951218),2
323,node,355298835,Marschweg,POINT (10.7201811 53.2971121),5
324,node,275652358,"Bleckede, Auf dem Kamp",POINT (10.7366005 53.2891135),3
325,node,319969924,Saatbau,POINT (10.7403748 53.2850418),4
326,node,1801632891,Fähranleger,POINT (10.7342034 53.2977944),3
327,node,1838158752,Buendorf,POINT (10.7519136 53.1843834),7
328,node,1432208149,Quickborn,POINT (10.7529866 53.1861215),8
329,node,6445357812,"Nindorf bei Bleckede, L222",POINT (10.7428188 53.2618189),4
330,node,320064688,"Bleckede, Dahlenburger Straße",POINT (10.741308 53.2790683),2
331,node,319974894,"Bleckede, Waldfrieden",POINT (10.7436216 53.2717076),0
332,node,747323812,"Neu Wendischthun, Abzweig",POINT (10.78729 53.3036952),3
333,node,747323812,Neu Wendischthun,POINT (10.7761113 53.3050591),2
334,node,566592806,Vor der Westermarsch,POINT (10.3846317 53.2957478),14
335,node,2307579589,"Artlenburg, Elbdeich",POINT (10.4826681 53.3751486),7
336,node,3019763968,Scharnebecker Straße,POINT (10.4479667 53.3317514),6
337,node,3749693091,"Rullstorf, Am Neetzekanal",POINT (10.5589707 53.2965617),3
338,node,278806832,"Vastorf, Abzweigung Bahnhof",POINT (10.5499284 53.1989822),6
339,node,1839897577,Denkmal,POINT (10.4432224 53.333012),2
340,node,7623285536,"Brietlingen, Ort",POINT (10.4452223 53.3302669),1
341,node,2481243764,"Walmsburg, Bruchdorfer Straße",POINT (10.8482356 53.2391409),3
342,node,7611446379,"Garze, Große Straße 29",POINT (10.6950179 53.3072631),6
343,node,846062334,"Nutzfelde, Am Walde",POINT (10.5173332 53.2686827),2
344,node,2332372281,Vrestorfer Weg,POINT (10.4260987 53.2788106),4
345,node,393141179,Thiessendörper Weg,POINT (10.3910124 53.2890091),1
346,node,8479006739,Am Diemel,POINT (10.4009785 53.1803408),2
347,node,578361745,Ätzberg,POINT (10.3949058 53.1774491),0
348,node,2269708054,"Hittbergen, Roggenberg",POINT (10.5960677 53.3481539),5
349,node,301567834,Südergellerser Weg,POINT (10.2524476 53.232284),9
350,node,571528159,Hauptstraße (L 216),POINT (10.2483036 53.2329848),15
351,node,277251847,Teufelsküche,POINT (10.384344 53.2382175),13
352,node,266917061,Im Dorfe,POINT (10.2918703 53.2313242),14
353,node,3133820777,Neu Süttorf,POINT (10.6839508 53.2731495),1
354,node,322526004,Am Dorfplatz,POINT (10.624862 53.2653005),0
355,node,767341122,"Sülbeck, An den Eichen (L 221)",POINT (10.56262 53.2652483),4
356,node,566580956,Bühringsmoor,POINT (10.3594187 53.2922837),16
357,node,8723627995,Radbrucher Weg,POINT (10.3622233 53.2903712),8
358,node,566580954,Wendeplatz,POINT (10.3564185 53.2938238),16
359,node,448194685,Witwenkamp,POINT (10.3650642 53.2891832),10
360,node,319008950,Ernst-Braune-Straße,POINT (10.388196 53.23946),8
361,node,1277149593,"Hittbergen, Kirche",POINT (10.5892276 53.3445894),3
362,node,5249245058,Leuphana,POINT (10.4010697 53.2300356),7
363,node,8526739908,Ort,POINT (10.5142698 53.2520864),7
364,node,4363688126,"Neu Neetze, Am Milchberg",POINT (10.6495418 53.2888391),6
365,node,1286093175,"Neu Neetze, Birkenhof",POINT (10.6532373 53.2920806),6
366,node,3751608111,"Bleckeder Moor, Abzweigung",POINT (10.6580057 53.3008983),3
367,node,1897714546,"Karze, Auf dem Weel",POINT (10.6683701 53.3107637),2
368,node,2406049718,Große Straße 71,POINT (10.6846002 53.3088173),3
369,node,2406049696,Große Straße 3,POINT (10.7061658 53.3016323),6
370,node,346183826,Lüner Rennbahn,POINT (10.4227875 53.2748865),0
371,node,1330162044,Schlachthof,POINT (10.4249277 53.2727519),0
372,node,104072787,Auf den Blöcken,POINT (10.4613219 53.2384976),23
373,node,274859677,"Bleckede, Rathaus",POINT (10.7321198 53.2907814),6
374,node,425907797,Töpferdamm,POINT (10.7250404 53.2938286),5
375,node,386927750,"Walmsburg, Kateminer Straße",POINT (10.8439138 53.2391182),6
376,node,3324922587,"Barskamp, Markt",POINT (10.7837919 53.2441291),2
