element_type,osmid,name,x,y
node,480038596,Hauptstraße,10.5054053,53.2911209
node,481025366,Sportzentrum,10.4553245,53.2890979
node,482664290,Grundschule,10.5095283,53.2926817
node,483624340,Weinbergsweg Schule,10.4327074,53.2822368
node,489444061,Meisterstraße,10.5102281,53.2939604
node,489755111,Jürgenstorfer Straße,10.5973461,53.3233128
node,490967830,K 2 / Zum Bahnhof,10.528343,53.2892813
node,490967837,Alte Dorfstraße,10.5397765,53.2891528
node,490967972,"Scharnebeck, Echemer Straße",10.5057743,53.297607
node,491519948,"Lentenau, K28",10.5054742,53.2755473
node,495945811,"Reinstorf, Reinstorfer Kreuz",10.5684264,53.220633
node,496465786,Stixe,11.0184153,53.208598
node,497345983,Zeetze II,10.9874946,53.2276189
node,497346091,Stapel I,10.9579936,53.256979
node,497346142,Sumte,10.8789652,53.2878374
node,497346256,Neu Garge,10.8299917,53.2724174
node,497346347,Viehle,10.8359506,53.2588292
node,498835822,Wilkenstorf,11.1109712,53.1586831
node,498835825,Bohnenburg,11.1235982,53.1659804
node,498835830,Bohnenburger Eck,11.1311933,53.1754045
node,498835834,"Tripkau, Schule",11.1160885,53.1845458
node,503422950,Im Sande,10.2803467,53.2301573
node,503422967,Kirche,10.2939288,53.2303584
node,503422979,Im Wiesengrund,10.3009457,53.2311062
node,522791942,Landwehr,10.3957654,53.2839468
node,522795523,Hagemannsweg,10.3983505,53.2810195
node,534267751,Schulzentrum,10.4967743,53.2896025
node,535103235,Groß Kühren,10.9170623,53.2363026
node,538482513,Floetstraße,10.4091665,53.1800477
node,538482515,Rote Schleuse,10.410347,53.2094935
node,538482520,"Melbeck, Uelzener Straße",10.4178352,53.1752435
node,538482521,Bernhard-Riemann-Straße,10.4054578,53.22347
node,540037365,Neuhaus Schule,10.9413295,53.2870013
node,546443196,Von-Stauffenberg-Straße,10.4401651,53.282214
node,550132882,Rauher Weg,10.434875,53.276487
node,558971481,"Heiligenthal, Ort",10.3359066,53.2202422
node,558971486,In de Tüünen,10.336901,53.2195772
node,560124578,Heiligenthaler Straße,10.3021503,53.2287282
node,567924649,"Melbeck, Danziger Straße",10.3722583,53.1809678
node,569111833,"Embsen, Siedlung",10.3612379,53.1806562
node,574834364,Kulturforum Wienebüttel,10.3744107,53.2644052
node,577733851,"Brietlingen, Schierenweg",10.4343011,53.3141351
node,579745079,"Brietlingen, Moorweg",10.4397463,53.3174256
node,579745088,Ritzkamper Weg,10.4574358,53.327569
node,595316447,Schwarzer Weg,10.428384,53.2715467
node,596510627,Gut Olm,10.4541438,53.2614926
node,596510630,Abzweigung Ebensberg,10.4600774,53.2637503
node,596510634,Erbstorfer Landstraße,10.4778683,53.2739834
node,598165240,Hölderlinstraße,10.4436723,53.2608865
node,599304624,"Wendewisch, Campingplatz",10.6501668,53.3587971
node,617807630,"Riecklingen, Abzweigung",10.7099559,53.205882
node,617807631,Leestahl 2,10.6997246,53.2079337
node,617807634,Vindorf,10.7216374,53.1582
node,618577357,Am Kirchkamp,10.6965007,53.1789467
node,618614484,Schule A,10.5369096,53.2254603
node,663701154,"Embsen, Bahnhofstraße",10.3454169,53.177286
node,663785697,"Embsen, Querlberg",10.3510466,53.1737042
node,667244937,"Horndorf, Zur Doven Elbe",10.5885781,53.2144044
node,667247479,"Reinstorf, Hauptstraße",10.5723353,53.2342885
node,667440660,Forsthaus,10.3455259,53.1658521
node,687572700,"Barum, Abzweig Horburg",10.404422,53.353689
node,687572706,"Barum, Am See",10.411604,53.3506593
node,702618125,"Oldendorf (Luhe), Ortsmitte",10.2140869,53.1554418
node,702618132,"Oldendorf (Luhe), Salzhausener Straße",10.2134989,53.1588068
node,702618162,Marxen am Berge,10.2480264,53.1608426
node,702618165,Marxen-Lühr,10.2614544,53.155945
node,702658157,"Oerzen, Fliederstraße",10.327642,53.1921149
node,706472413,Hohe Luft,10.4174102,53.1751221
node,707822029,"Bavendorf, Im Dorfe",10.6393535,53.1958992
node,707914904,"Reinstorf, Am Vitusbach",10.5723556,53.2346506
node,728601514,Neumühlener Weg,10.5683419,53.289706
node,728601515,Möhlenkamp,10.5603385,53.2898973
node,731001818,Auf der Hausstelle,10.4764512,53.217232
node,731001823,Feuerwehr,10.4695606,53.2158292
node,734659529,Ostlandring,10.4399979,53.242081
node,734659530,Freibad,10.4423226,53.2409945
node,741395439,Kreuzkamp,10.4364118,53.286404
node,741395458,Robert-Koch-Straße,10.4528497,53.2840109
node,741395467,Friedhof,10.4481389,53.2855037
node,741395484,Heinrich Heine Siedlung,10.464871,53.2786754
node,741395489,An der Bünte,10.4601337,53.2803412
node,741395495,Heinrich-Hille-Straße,10.4428154,53.2861609
node,741395501,Weinbergsweg,10.4327,53.2853082
node,765350076,"Radenbeck, Linnenkamp",10.6277678,53.2215393
node,765350198,"Radenbeck, Dorfstraße",10.6301273,53.224299
node,767330094,Siedlung,10.5916573,53.2412736
node,773553061,"Brietlingen, Am Sportplatz",10.436449,53.3191189
node,795056872,Goebelstraße,10.4167169,53.26866
node,798534931,"Echem, Schulstraße",10.5430609,53.3376807
node,800462877,Grüner Weg,10.432352,53.272947
node,800463848,Lindenweg,10.4380841,53.2730333
node,818722480,Otto-Brenner-Straße (Kehre),10.4837546,53.2364276
node,855121275,"Brietlingen, Stettiner Ring",10.4441547,53.3134023
node,869281373,Sternkamp,10.4057395,53.2669292
node,871256635,Kirchweg,10.436374,53.278698
node,871730916,Bunsenstraße,10.4412818,53.2495011
node,871731608,Bachstraße,10.4400425,53.2473918
node,874311439,"Raven, Revener Dorfstraße",10.1589262,53.1733128
node,902415882,Rosenkamp,10.3790788,53.2244958
node,902415888,Schmiedestraße,10.3767866,53.2247574
node,902415900,Rehrweg,10.3725779,53.2263697
node,905142284,"Wittorf, Wiesenstraße",10.3800426,53.3322006
node,915967687,Volgershall/UNI,10.3840653,53.249349
node,924513262,Städtisches Klinikum,10.397306,53.2407753
node,930617129,Kindergarten,10.5589845,53.3655129
node,930617232,Schule Haltestelle C,10.5640138,53.3613479
node,930617284,Schule Haltestelle A,10.563715,53.3617441
node,930617343,Schule Haltestelle D,10.5641594,53.3611706
node,930617456,Schule Haltestelle B,10.5638589,53.3615218
node,932785403,"Lüdersburg, Kirchtwiete",10.5738389,53.3204039
node,932785598,Abzweigung Jürgenstorf,10.5951755,53.3304483
node,937042681,Melbeck Grundschule,10.404557,53.1787734
node,959459192,Gifkendorf,10.5503194,53.1892645
node,965096601,B 209,10.4945384,53.3681692
node,975589762,Gerhart-Hauptmann-Straße,10.3395324,53.2463836
node,975591759,Händelstraße,10.3420038,53.2517922
node,975592030,Alter Postweg,10.3435316,53.2525452
node,976359559,Lessingstraße,10.3398479,53.2496234
node,976364837,Am Fuchsberg,10.3473817,53.2531473
node,976366479,Im Westerfelde,10.349476,53.2522281
node,984528254,Alte Salzstraße,10.4746437,53.3625861
node,1039463414,Behördenzentrum (Ost),10.4313902,53.2509696
node,1048704480,Psychiatrische Klinik,10.3880794,53.2543494
node,1092138007,Am Bruch,10.3319859,53.3020685
node,1108268733,Bei der Pferdehütte,10.4047332,53.2741646
node,1116593359,Alec-Moore-Straße,10.3812801,53.2465139
node,1116593365,Am Bargenturm,10.3985975,53.2452478
node,1116593369,Heidkoppelweg,10.4689526,53.2613986
node,1116593371,Memeler Straße,10.4680489,53.2602671
node,1116593375,William-Watt-Straße,10.38069,53.2448537
node,1116593381,Allensteiner Straße,10.463416,53.2641335
node,1116593388,"Erbstorf, Wendeplatz",10.4763614,53.2737862
node,1116593396,Jüttkenmoor,10.3849708,53.2479273
node,1116593409,Am Ziegeleiteich,10.4720436,53.2599796
node,1137687985,Ostlandstraße (Schule),10.3500738,53.2485861
node,1137688091,Schnellenberger Weg,10.3639159,53.2477958
node,1137688221,Ostlandstraße Spielplatz,10.3433004,53.2483843
node,1137688232,Am Lerchenberg,10.3674726,53.2470042
node,1137688247,Am Schwarzen Berg,10.3434432,53.2453669
node,1156522335,Steinweg,10.4425957,53.2755805
node,1156522398,Im Gutspark,10.4468141,53.286184
node,1156522399,Virchowstraße,10.4469601,53.2814563
node,1156522434,Teichaue,10.449058,53.2865534
node,1157694827,Moorchaussee,10.4478643,53.2889918
node,1157694871,Kastanienallee,10.454844,53.2839238
node,1157694940,Katzenweg,10.4572671,53.2868678
node,1181280550,Friedrich-Ludwig-Jahn-Straße,10.4083952,53.235035
node,1181280590,Rotes Tor,10.4097351,53.2437968
node,1181280625,Goethestraße,10.4104754,53.2351006
node,1181280845,Hagen Wendeplatz,10.4519518,53.2428075
node,1181280913,Hopfengarten,10.4278875,53.2510849
node,1181280956,Wielandstraße,10.4108562,53.2377319
node,1181280963,Hans-Steffens-Weg,10.4349723,53.2509447
node,1181280987,Gaußstraße,10.4047485,53.222771
node,1181281148,Heinrich-Böll-Straße,10.4039471,53.2267352
node,1187269501,Carl-von-Ossietzky-Straße,10.4015929,53.2275296
node,1195426701,Otto-Brenner-Straße,10.478437,53.2423045
node,1195426702,Flugplatz,10.4592049,53.2448717
node,1195426707,Walter-Bötcher-Straße,10.4459578,53.2455633
node,1195426708,Stadtkoppel,10.4492537,53.2461948
node,1195426715,Kurt-Höbold-Straße,10.4778019,53.2402935
node,1195426718,Richard-Brauer-Straße,10.4429666,53.2447657
node,1195426726,Elso-Klöver-Straße,10.477347,53.2465791
node,1195426727,Gellersstraße,10.4300483,53.2478555
node,1195426730,Wilhelm-Fressel-Straße,10.4760492,53.2390287
node,1318971120,Große Hof,10.3745541,53.1342237
node,1318971124,Abzw. Betzendorf,10.3727202,53.1351636
node,1321746678,Schildsteinweg,10.3914278,53.2407532
node,1327771519,Bauerholzweg,10.3722547,53.1388961
node,1329815862,Kampweg,10.382554,53.1578114
node,1329815865,Wiesenweg,10.3829747,53.1602771
node,1329815867,Mühlenberg,10.3710862,53.1423653
node,1329815870,Bokenkamp,10.3636165,53.1457606
node,1348734466,Finanzamt,10.4121817,53.2554488
node,1348734468,Auf dem Schmaarkamp,10.4105509,53.2603115
node,1348734473,Auf der Hude,10.4136152,53.2583328
node,1349023125,Tennispark,10.3849925,53.2598361
node,1349023126,Kiefernweg,10.3526052,53.2753237
node,1349023151,Brockwinkler Weg,10.3866216,53.256493
node,1349034965,Dachtmisser Weg,10.3477471,53.2780348
node,1356143856,Niendorfer Weg,10.4727397,53.2140252
node,1428466983,Niendorf (Amt Neuhaus),10.8897837,53.306826
node,1457216860,Große Straße,10.4871138,53.3709802
node,1462314675,"Göddingen, Wöppenberg",10.7610009,53.2566452
node,1462319891,"Göddingen, Am Fischteich",10.7642906,53.2535523
node,1500734783,Ortsmitte/B209,10.2925719,53.1510817
node,1500742087,"Drögennindorf, Celler Landstraße",10.2962873,53.1507639
node,1500742090,Neu Oerzen,10.3184746,53.1792981
node,1506682222,"Wendhausen, Im Ort",10.5670338,53.2506276
node,1521522860,"Melbeck, Gymnasium",10.4156375,53.1785399
node,1526117714,Ebstorfer Straße,10.4043018,53.1789627
node,1547402603,"Barendorf, Dorfstraße",10.5212258,53.2244543
node,1580923936,Neu Häcklingen,10.4055348,53.2094134
node,1580939974,Am Rischpool,10.3791154,53.1810146
node,1602846163,Robert-Schumann-Straße,10.433913,53.2900786
node,1603544600,Königsberger Weg,10.4398725,53.2834046
node,1647151461,Kornblumenweg,10.4327786,53.2876679
node,1647151473,Röthenweg,10.4327278,53.2859085
node,1674676631,Neuhaus Tankstelle,10.9376638,53.2867524
node,1757030062,Zeltberg,10.4069669,53.2650556
node,1759808927,Dorfplatz,10.3501768,53.2783682
node,1781853978,Am Stadtberg,10.3588328,53.2733993
node,1781853981,Pumpenstation,10.3675583,53.2652064
node,1799695011,Friedhofsweg,10.3471319,53.2765812
node,1801577706,Heimathaus,10.7250696,53.2951218
node,1801577708,Marschweg,10.7201811,53.2971121
node,1801577768,"Bleckede, Auf dem Kamp",10.7366005,53.2891135
node,1801577775,Saatbau,10.7403748,53.2850418
node,1801632860,Fähranleger,10.7342034,53.2977944
node,1811057557,Buendorf,10.7519136,53.1843834
node,1811057593,Kreuzung,10.7800434,53.171045
node,1811057621,"Oldendorf (Göhrde), Alte Poststraße",10.8106019,53.1588406
node,1811057641,Quickborn,10.7529866,53.1861215
node,1811070206,"Nindorf bei Bleckede, L222",10.7428188,53.2618189
node,1811070209,"Bleckede, Dahlenburger Straße",10.741308,53.2790683
node,1811070211,"Bleckede, Waldfrieden",10.7436216,53.2717076
node,1811082398,"Neu Wendischthun, Abzweig",10.78729,53.3036952
node,1811082434,Neu Wendischthun,10.7761113,53.3050591
node,1813974855,Vor der Westermarsch,10.3846317,53.2957478
node,1814233226,"Artlenburg, Elbdeich",10.4826681,53.3751486
node,1818608627,Wehningen,11.1668439,53.1714947
node,1818608766,Kaarßen Neubau,11.052825,53.1898635
node,1829940524,Scharnebecker Straße,10.4479667,53.3317514
node,1830088679,"Rullstorf, Am Neetzekanal",10.5589707,53.2965617
node,1835454901,"Vastorf, Abzweigung Bahnhof",10.5499284,53.1989822
node,1839897450,Denkmal,10.4432224,53.333012
node,1839897454,"Brietlingen, Ort",10.4452223,53.3302669
node,1845911343,"Walmsburg, Bruchdorfer Straße",10.8482356,53.2391409
node,1846766355,"Garze, Große Straße 29",10.6950179,53.3072631
node,1851807827,"Nutzfelde, Am Walde",10.5173332,53.2686827
node,1904371907,"Marienau, Drosselstraße 7",10.7270496,53.2016488
node,1918464287,Moorweg,10.1457246,53.1406496
node,1935570686,"Pommoißel, Göhrder Bahnhofstraße",10.8618588,53.1657129
node,1935570700,Nieperfitz,10.8814177,53.1576787
node,1935601887,Tangsehler Weg,10.8189301,53.1748335
node,1935614923,"Süschendorf, Ort",10.7839364,53.1676944
node,2012947564,Eichdorf,10.833831,53.1623602
node,2015120617,Vrestorfer Weg,10.4260987,53.2788106
node,2015438276,Thiessendörper Weg,10.3910124,53.2890091
node,2184587146,Am Diemel,10.4009785,53.1803408
node,2184708119,Ätzberg,10.3949058,53.1774491
node,2269708162,"Hittbergen, Roggenberg",10.5960677,53.3481539
node,2296934587,Südergellerser Weg,10.2524476,53.232284
node,2297049243,Hauptstraße (L 216),10.2483036,53.2329848
node,2328939473,Teufelsküche,10.384344,53.2382175
node,2365048228,Im Dorfe,10.2918703,53.2313242
node,2479149962,Neu Süttorf,10.6839508,53.2731495
node,2479156893,Am Dorfplatz,10.624862,53.2653005
node,2479161639,"Sülbeck, An den Eichen (L 221)",10.56262,53.2652483
node,2579846593,Bühringsmoor,10.3594187,53.2922837
node,2579846602,Radbrucher Weg,10.3622233,53.2903712
node,2579846604,Wendeplatz,10.3564185,53.2938238
node,2579846605,Witwenkamp,10.3650642,53.2891832
node,2632455483,Ernst-Braune-Straße,10.388196,53.23946
node,2719817533,"Hittbergen, Kirche",10.5892276,53.3445894
node,2719820699,Ernst-Kissolewski-Straße,10.5626299,53.3542178
node,2719823045,Triftweg,10.5614771,53.3602915
node,2719825959,Am Sportzentrum,10.5512395,53.3640811
node,2719825968,"Hohnstorf, Am Sportzentrum",10.5500066,53.3647636
node,2745085368,Leuphana,10.4010697,53.2300356
node,2781029558,Ort,10.5142698,53.2520864
node,2782829372,"Neu Neetze, Am Milchberg",10.6495418,53.2888391
node,2782829376,"Neu Neetze, Birkenhof",10.6532373,53.2920806
node,2782829822,"Bleckeder Moor, Abzweigung",10.6580057,53.3008983
node,2782831398,"Karze, Auf dem Weel",10.6683701,53.3107637
node,2782833592,Große Straße 71,10.6846002,53.3088173
node,2782835045,Große Straße 3,10.7061658,53.3016323
node,2794696012,Kaarßen Dorf,11.0424553,53.1939215
node,2848418354,Lüner Rennbahn,10.4227875,53.2748865
node,2848418355,Schlachthof,10.4249277,53.2727519
node,2878572398,Auf den Blöcken,10.4613219,53.2384976
node,2936455571,"Bleckede, Rathaus",10.7321198,53.2907814
node,2936475887,Töpferdamm,10.7250404,53.2938286
node,2936477252,"Walmsburg, Kateminer Straße",10.8439138,53.2391182
node,2936478303,"Barskamp, Markt",10.7837919,53.2441291
node,2936483852,"Bleckede, Elbweg",10.7518144,53.2846395
node,2936483859,"Alt Garge, Waldbad",10.8044277,53.2580616
node,2936483860,Brennbusch,10.7549585,53.2817049
node,2936511826,Walmsburger Straße,10.7853326,53.2434432
node,2936511828,Turnhalle,10.7981006,53.265378
node,2936511830,"Bleckede, Schiedenitzweg",10.7416057,53.2800631
node,2936511831,Schieringen,10.8235273,53.2335364
node,2936535232,"Reeßeln, Abzweigung",10.8611674,53.2354658
node,2936577452,"Breetze, Bokelstraße",10.709379,53.2646484
node,2936577454,"Breetze, Ziegelei",10.7152808,53.270797
node,2950819985,"Artlenburg, Ost",10.5042912,53.3679135
node,2973160587,Bessemerstraße,10.4128482,53.2697777
node,3007498666,SZ Kaltenmoor,10.4362805,53.2390035
node,3008184424,Rettmer (Mitte),10.3697803,53.2139069
node,3008228358,"Oerzen, Im Dorfe",10.3244054,53.1933078
node,3008241566,"Amelinghausen, Grundschule",10.2202329,53.1251788
node,3008247635,Kastanienweg,10.1700179,53.126874
node,3008247636,Dehnsener Straße,10.1920065,53.1252587
node,3008257098,"Soderstorf, Friedhof",10.1351007,53.1348294
node,3008262043,Schwindebeck,10.1170317,53.1249508
node,3008270106,"Amelinghausen, Kirche",10.2126403,53.1245595
node,3010808415,Soltauer Straße,10.2084902,53.1247475
node,3010809632,Kloster Lüne,10.4233448,53.2609955
node,3027732261,Nikolaihof,10.3954401,53.2915066
node,3039338913,DRK-Heim,10.4461997,53.2801254
node,3046813394,Hasenburger Berg,10.3977854,53.2356105
node,3046813396,Zentralfriedhof,10.3988728,53.2370178
node,3056385717,Am Eiskeller,10.3850037,53.2362354
node,3056385718,Auf dem Knieberg,10.3884282,53.2356314
node,3056385719,Heidkamp,10.3931163,53.235028
node,3056385720,Meinekenhop,10.3876742,53.2375288
node,3056385721,Ringstraße,10.38936,53.2358785
node,3109981532,Soltauer Straße (Kurzentrum),10.4016865,53.241219
node,3135149378,Sandfeld,10.7222326,53.2853563
node,3135149379,Kurt-Löwenstein-Schule,10.7299436,53.2881094
node,3136293741,Clamartpark,10.4094815,53.2457263
node,3191900781,Hasenburger Schule,10.3973858,53.2331247
node,3191932659,Rosenkamp Wendeplatz,10.3809308,53.2237159
node,3191932961,Övelgönner Weg,10.3918692,53.2298285
node,3225614869,Bahnhofstraße,10.380284,53.2910843
node,3225614874,St.-Nikolai-Straße (Schule),10.389031,53.2924355
node,3227603542,Königsberger Straße,10.4086651,53.2627692
node,3228615577,Pieperstraße,10.3933335,53.2950296
node,3233157084,Am Graben,10.4180528,53.2668709
node,3233157086,Böcklerstraße/TÜV,10.4098875,53.2716586
