name,x,y,passengers,cluster
"Deutsch Evern, Finkenstieg",10.4204929,53.2018114,10,18.0
"Deutsch Evern, Petersberg",10.4170104,53.2056615,6,27.0
"Deutsch Evern, Am Tiergarten",10.4186211,53.2073704,14,27.0
"Deutsch Evern, Tiergartenstraße",10.4293826,53.2061751,0,
"Deutsch Evern, Birkenweg",10.4432816,53.2042662,0,
Schützenstraße,10.4452134,53.2035664,0,
Im Alten Dorfe,10.2968669,53.2083215,0,
Am Kreideberg,10.4042363,53.255164,6,51.0
Stöteroggestraße (Süd),10.4020549,53.2556211,14,51.0
Boizenburger Straße,10.3989629,53.2574691,0,
Thorner Straße (West),10.3943921,53.2585943,11,41.0
Thorner Platz,10.3997927,53.2595982,12,41.0
Salzwedeler Straße,10.4032549,53.2606612,0,
Elbinger Straße,10.4028514,53.2627146,11,51.0
Dessauer Straße,10.401462,53.2641491,11,51.0
Magdeburger Straße,10.3993732,53.266558,13,51.0
Stöteroggestraße (Nord),10.3993537,53.2644566,0,
Brücke,10.3810417,53.331609,17,22.0
Hasenburger Weg,10.3832526,53.2287752,17,34.0
Wallstraße,10.3864893,53.3009499,0,
Elba,10.4271323,53.2961666,1,17.0
Landwehrplatz,10.3574147,53.2479717,9,31.0
Bardowicker Straße,10.5031696,53.2949054,11,8.0
Lübbelau,10.4989646,53.2938205,5,23.0
Finkenweg,10.3619305,53.2704586,14,30.0
"Lemgrabe, Am Hasenberg",10.7044397,53.1711381,8,1.0
Lilienthalstraße,10.4599879,53.2437212,7,29.0
Von-Stern-Straße,10.4625961,53.245733,5,29.0
Eisenwerk,10.4692372,53.249358,5,29.0
Gebrüder-Heyn-Straße,10.4656699,53.248161,10,29.0
Hagen-Schule,10.4473637,53.2440639,6,29.0
Wacholderweg,10.4425033,53.2452459,7,29.0
Ahornweg,10.4381585,53.2465445,0,
Adendorfer Straße,10.5003095,53.2907226,6,23.0
Boltersener Straße,10.5367548,53.2835213,6,23.0
"Boltersen, Rullstorfer Straße",10.5655161,53.2754359,5,6.0
Nutzfelder Weg,10.5301085,53.2861568,6,23.0
Hauptstraße,10.5054053,53.2911209,5,8.0
Sportzentrum,10.4553245,53.2890979,0,
Grundschule,10.5095283,53.2926817,0,
Weinbergsweg Schule,10.4327074,53.2822368,0,
Meisterstraße,10.5102281,53.2939604,5,8.0
Jürgenstorfer Straße,10.5973461,53.3233128,0,
K 2 / Zum Bahnhof,10.528343,53.2892813,4,23.0
Alte Dorfstraße,10.5397765,53.2891528,8,23.0
"Scharnebeck, Echemer Straße",10.5057743,53.297607,8,8.0
"Lentenau, K28",10.5054742,53.2755473,6,8.0
"Reinstorf, Reinstorfer Kreuz",10.5684264,53.220633,7,7.0
Im Sande,10.2803467,53.2301573,17,11.0
Kirche,10.2939288,53.2303584,12,16.0
Im Wiesengrund,10.3009457,53.2311062,9,21.0
Landwehr,10.3957654,53.2839468,11,44.0
Hagemannsweg,10.3983505,53.2810195,11,44.0
Schulzentrum,10.4967743,53.2896025,0,
Floetstraße,10.4091665,53.1800477,14,9.0
Rote Schleuse,10.410347,53.2094935,9,27.0
"Melbeck, Uelzener Straße",10.4178352,53.1752435,9,18.0
Bernhard-Riemann-Straße,10.4054578,53.22347,9,35.0
Von-Stauffenberg-Straße,10.4401651,53.282214,0,
Rauher Weg,10.434875,53.276487,0,
"Heiligenthal, Ort",10.3359066,53.2202422,13,21.0
In de Tüünen,10.336901,53.2195772,11,21.0
Heiligenthaler Straße,10.3021503,53.2287282,10,16.0
"Melbeck, Danziger Straße",10.3722583,53.1809678,8,15.0
"Embsen, Siedlung",10.3612379,53.1806562,8,15.0
Kulturforum Wienebüttel,10.3744107,53.2644052,11,41.0
"Brietlingen, Schierenweg",10.4343011,53.3141351,10,12.0
"Brietlingen, Moorweg",10.4397463,53.3174256,6,12.0
Ritzkamper Weg,10.4574358,53.327569,8,12.0
Schwarzer Weg,10.428384,53.2715467,6,53.0
Gut Olm,10.4541438,53.2614926,13,53.0
Abzweigung Ebensberg,10.4600774,53.2637503,5,49.0
Erbstorfer Landstraße,10.4778683,53.2739834,2,17.0
Hölderlinstraße,10.4436723,53.2608865,11,49.0
"Wendewisch, Campingplatz",10.6501668,53.3587971,0,
"Riecklingen, Abzweigung",10.7099559,53.205882,6,1.0
Leestahl 2,10.6997246,53.2079337,0,
Am Kirchkamp,10.6965007,53.1789467,10,1.0
Schule A,10.5369096,53.2254603,3,
"Embsen, Bahnhofstraße",10.3454169,53.177286,9,15.0
"Embsen, Querlberg",10.3510466,53.1737042,11,10.0
"Horndorf, Zur Doven Elbe",10.5885781,53.2144044,0,
"Reinstorf, Hauptstraße",10.5723353,53.2342885,4,7.0
Forsthaus,10.3455259,53.1658521,0,
"Barum, Abzweig Horburg",10.404422,53.353689,16,20.0
"Barum, Am See",10.411604,53.3506593,17,20.0
"Oerzen, Fliederstraße",10.327642,53.1921149,0,
Hohe Luft,10.4174102,53.1751221,9,18.0
"Bavendorf, Im Dorfe",10.6393535,53.1958992,9,7.0
"Reinstorf, Am Vitusbach",10.5723556,53.2346506,9,7.0
Neumühlener Weg,10.5683419,53.289706,7,6.0
Möhlenkamp,10.5603385,53.2898973,6,6.0
Auf der Hausstelle,10.4764512,53.217232,0,
Feuerwehr,10.4695606,53.2158292,4,26.0
Ostlandring,10.4399979,53.242081,0,
Freibad,10.4423226,53.2409945,7,47.0
Kreuzkamp,10.4364118,53.286404,0,
Robert-Koch-Straße,10.4528497,53.2840109,0,
Friedhof,10.4481389,53.2855037,0,
Heinrich Heine Siedlung,10.464871,53.2786754,0,
An der Bünte,10.4601337,53.2803412,1,17.0
Heinrich-Hille-Straße,10.4428154,53.2861609,0,
Weinbergsweg,10.4327,53.2853082,0,
"Radenbeck, Linnenkamp",10.6277678,53.2215393,11,7.0
"Radenbeck, Dorfstraße",10.6301273,53.224299,0,
Siedlung,10.5916573,53.2412736,7,8.0
"Brietlingen, Am Sportplatz",10.436449,53.3191189,0,
Goebelstraße,10.4167169,53.26866,3,48.0
"Echem, Schulstraße",10.5430609,53.3376807,11,12.0
Grüner Weg,10.432352,53.272947,1,53.0
Lindenweg,10.4380841,53.2730333,0,
Otto-Brenner-Straße (Kehre),10.4837546,53.2364276,9,29.0
"Brietlingen, Stettiner Ring",10.4441547,53.3134023,0,
Sternkamp,10.4057395,53.2669292,4,52.0
Kirchweg,10.436374,53.278698,1,53.0
Bunsenstraße,10.4412818,53.2495011,0,
Bachstraße,10.4400425,53.2473918,7,47.0
Rosenkamp,10.3790788,53.2244958,13,21.0
Schmiedestraße,10.3767866,53.2247574,15,21.0
Rehrweg,10.3725779,53.2263697,6,21.0
"Wittorf, Wiesenstraße",10.3800426,53.3322006,17,24.0
Volgershall/UNI,10.3840653,53.249349,7,31.0
Städtisches Klinikum,10.397306,53.2407753,8,38.0
"Lüdersburg, Kirchtwiete",10.5738389,53.3204039,10,6.0
Abzweigung Jürgenstorf,10.5951755,53.3304483,9,4.0
Melbeck Grundschule,10.404557,53.1787734,0,
Gifkendorf,10.5503194,53.1892645,5,13.0
B 209,10.4945384,53.3681692,11,17.0
Gerhart-Hauptmann-Straße,10.3395324,53.2463836,9,28.0
Händelstraße,10.3420038,53.2517922,11,28.0
Alter Postweg,10.3435316,53.2525452,13,28.0
Lessingstraße,10.3398479,53.2496234,15,28.0
Am Fuchsberg,10.3473817,53.2531473,0,
Im Westerfelde,10.349476,53.2522281,0,
Behördenzentrum (Ost),10.4313902,53.2509696,4,47.0
Psychiatrische Klinik,10.3880794,53.2543494,8,40.0
Am Bruch,10.3319859,53.3020685,0,
Bei der Pferdehütte,10.4047332,53.2741646,2,48.0
Alec-Moore-Straße,10.3812801,53.2465139,0,
Am Bargenturm,10.3985975,53.2452478,12,45.0
Heidkoppelweg,10.4689526,53.2613986,0,
Memeler Straße,10.4680489,53.2602671,8,23.0
William-Watt-Straße,10.38069,53.2448537,6,40.0
Allensteiner Straße,10.463416,53.2641335,11,17.0
"Erbstorf, Wendeplatz",10.4763614,53.2737862,0,
Jüttkenmoor,10.3849708,53.2479273,9,40.0
Am Ziegeleiteich,10.4720436,53.2599796,12,23.0
Ostlandstraße (Schule),10.3500738,53.2485861,9,31.0
Schnellenberger Weg,10.3639159,53.2477958,0,
Ostlandstraße Spielplatz,10.3433004,53.2483843,17,31.0
Am Lerchenberg,10.3674726,53.2470042,10,31.0
Am Schwarzen Berg,10.3434432,53.2453669,12,31.0
Steinweg,10.4425957,53.2755805,1,53.0
Im Gutspark,10.4468141,53.286184,0,
Virchowstraße,10.4469601,53.2814563,0,
Teichaue,10.449058,53.2865534,0,
Moorchaussee,10.4478643,53.2889918,0,
Kastanienallee,10.454844,53.2839238,0,
Katzenweg,10.4572671,53.2868678,0,
Friedrich-Ludwig-Jahn-Straße,10.4083952,53.235035,0,
Rotes Tor,10.4097351,53.2437968,13,43.0
Goethestraße,10.4104754,53.2351006,17,39.0
Hagen Wendeplatz,10.4519518,53.2428075,0,
Hopfengarten,10.4278875,53.2510849,21,47.0
Wielandstraße,10.4108562,53.2377319,14,39.0
Hans-Steffens-Weg,10.4349723,53.2509447,7,47.0
Gaußstraße,10.4047485,53.222771,10,35.0
Heinrich-Böll-Straße,10.4039471,53.2267352,3,32.0
Carl-von-Ossietzky-Straße,10.4015929,53.2275296,0,
Otto-Brenner-Straße,10.478437,53.2423045,6,29.0
Flugplatz,10.4592049,53.2448717,0,
Walter-Bötcher-Straße,10.4459578,53.2455633,0,
Stadtkoppel,10.4492537,53.2461948,7,50.0
Kurt-Höbold-Straße,10.4778019,53.2402935,7,29.0
Richard-Brauer-Straße,10.4429666,53.2447657,5,47.0
Elso-Klöver-Straße,10.477347,53.2465791,0,
Gellersstraße,10.4300483,53.2478555,10,50.0
Wilhelm-Fressel-Straße,10.4760492,53.2390287,8,29.0
Große Hof,10.3745541,53.1342237,7,9.0
Abzw. Betzendorf,10.3727202,53.1351636,3,9.0
Schildsteinweg,10.3914278,53.2407532,0,
Bauerholzweg,10.3722547,53.1388961,7,9.0
Kampweg,10.382554,53.1578114,5,9.0
Wiesenweg,10.3829747,53.1602771,4,9.0
Mühlenberg,10.3710862,53.1423653,9,9.0
Bokenkamp,10.3636165,53.1457606,8,9.0
Finanzamt,10.4121817,53.2554488,7,48.0
Auf dem Schmaarkamp,10.4105509,53.2603115,6,52.0
Auf der Hude,10.4136152,53.2583328,0,
Tennispark,10.3849925,53.2598361,12,40.0
Kiefernweg,10.3526052,53.2753237,15,30.0
Brockwinkler Weg,10.3866216,53.256493,6,40.0
Dachtmisser Weg,10.3477471,53.2780348,8,30.0
Niendorfer Weg,10.4727397,53.2140252,5,26.0
Große Straße,10.4871138,53.3709802,1,17.0
"Göddingen, Wöppenberg",10.7610009,53.2566452,6,0.0
"Göddingen, Am Fischteich",10.7642906,53.2535523,6,0.0
Neu Oerzen,10.3184746,53.1792981,6,15.0
"Wendhausen, Im Ort",10.5670338,53.2506276,5,8.0
"Melbeck, Gymnasium",10.4156375,53.1785399,5,18.0
Ebstorfer Straße,10.4043018,53.1789627,6,9.0
"Barendorf, Dorfstraße",10.5212258,53.2244543,10,13.0
Neu Häcklingen,10.4055348,53.2094134,8,27.0
Am Rischpool,10.3791154,53.1810146,4,18.0
Robert-Schumann-Straße,10.433913,53.2900786,2,17.0
Königsberger Weg,10.4398725,53.2834046,0,
Kornblumenweg,10.4327786,53.2876679,0,
Röthenweg,10.4327278,53.2859085,1,17.0
Zeltberg,10.4069669,53.2650556,4,52.0
Dorfplatz,10.3501768,53.2783682,10,30.0
Am Stadtberg,10.3588328,53.2733993,0,
Pumpenstation,10.3675583,53.2652064,5,30.0
Friedhofsweg,10.3471319,53.2765812,9,30.0
Heimathaus,10.7250696,53.2951218,5,2.0
Marschweg,10.7201811,53.2971121,6,2.0
"Bleckede, Auf dem Kamp",10.7366005,53.2891135,1,2.0
Saatbau,10.7403748,53.2850418,0,
Fähranleger,10.7342034,53.2977944,2,5.0
Buendorf,10.7519136,53.1843834,6,3.0
Quickborn,10.7529866,53.1861215,5,3.0
"Nindorf bei Bleckede, L222",10.7428188,53.2618189,0,
"Bleckede, Dahlenburger Straße",10.741308,53.2790683,6,0.0
"Bleckede, Waldfrieden",10.7436216,53.2717076,0,
"Neu Wendischthun, Abzweig",10.78729,53.3036952,4,
Neu Wendischthun,10.7761113,53.3050591,4,5.0
Vor der Westermarsch,10.3846317,53.2957478,16,24.0
"Artlenburg, Elbdeich",10.4826681,53.3751486,0,
Scharnebecker Straße,10.4479667,53.3317514,7,12.0
"Rullstorf, Am Neetzekanal",10.5589707,53.2965617,0,
"Vastorf, Abzweigung Bahnhof",10.5499284,53.1989822,6,13.0
Denkmal,10.4432224,53.333012,11,12.0
"Brietlingen, Ort",10.4452223,53.3302669,0,
"Walmsburg, Bruchdorfer Straße",10.8482356,53.2391409,5,0.0
"Garze, Große Straße 29",10.6950179,53.3072631,4,2.0
"Nutzfelde, Am Walde",10.5173332,53.2686827,4,8.0
Vrestorfer Weg,10.4260987,53.2788106,11,53.0
Thiessendörper Weg,10.3910124,53.2890091,14,44.0
Am Diemel,10.4009785,53.1803408,5,18.0
Ätzberg,10.3949058,53.1774491,6,9.0
"Hittbergen, Roggenberg",10.5960677,53.3481539,0,
Südergellerser Weg,10.2524476,53.232284,17,11.0
Hauptstraße (L 216),10.2483036,53.2329848,19,11.0
Teufelsküche,10.384344,53.2382175,9,37.0
Im Dorfe,10.2918703,53.2313242,22,16.0
Neu Süttorf,10.6839508,53.2731495,5,2.0
Am Dorfplatz,10.624862,53.2653005,0,
"Sülbeck, An den Eichen (L 221)",10.56262,53.2652483,2,6.0
Bühringsmoor,10.3594187,53.2922837,10,33.0
Radbrucher Weg,10.3622233,53.2903712,12,33.0
Wendeplatz,10.3564185,53.2938238,14,19.0
Witwenkamp,10.3650642,53.2891832,15,33.0
Ernst-Braune-Straße,10.388196,53.23946,7,38.0
"Hittbergen, Kirche",10.5892276,53.3445894,5,4.0
Leuphana,10.4010697,53.2300356,0,
Ort,10.5142698,53.2520864,4,8.0
"Neu Neetze, Am Milchberg",10.6495418,53.2888391,0,
"Neu Neetze, Birkenhof",10.6532373,53.2920806,10,5.0
"Bleckeder Moor, Abzweigung",10.6580057,53.3008983,0,
"Karze, Auf dem Weel",10.6683701,53.3107637,8,6.0
Große Straße 71,10.6846002,53.3088173,4,2.0
Große Straße 3,10.7061658,53.3016323,7,2.0
Lüner Rennbahn,10.4227875,53.2748865,0,
Schlachthof,10.4249277,53.2727519,0,
Auf den Blöcken,10.4613219,53.2384976,0,
"Bleckede, Rathaus",10.7321198,53.2907814,5,2.0
Töpferdamm,10.7250404,53.2938286,0,
"Walmsburg, Kateminer Straße",10.8439138,53.2391182,7,0.0
"Barskamp, Markt",10.7837919,53.2441291,4,0.0
"Bleckede, Elbweg",10.7518144,53.2846395,0,
"Alt Garge, Waldbad",10.8044277,53.2580616,8,0.0
Brennbusch,10.7549585,53.2817049,5,5.0
Walmsburger Straße,10.7853326,53.2434432,1,0.0
Turnhalle,10.7981006,53.265378,6,0.0
"Bleckede, Schiedenitzweg",10.7416057,53.2800631,2,2.0
Schieringen,10.8235273,53.2335364,8,0.0
"Reeßeln, Abzweigung",10.8611674,53.2354658,4,0.0
"Breetze, Bokelstraße",10.709379,53.2646484,5,2.0
"Breetze, Ziegelei",10.7152808,53.270797,3,2.0
"Artlenburg, Ost",10.5042912,53.3679135,7,17.0
Bessemerstraße,10.4128482,53.2697777,5,48.0
SZ Kaltenmoor,10.4362805,53.2390035,0,
Rettmer (Mitte),10.3697803,53.2139069,0,
"Oerzen, Im Dorfe",10.3244054,53.1933078,2,15.0
"Amelinghausen, Grundschule",10.2202329,53.1251788,30,
Kastanienweg,10.1700179,53.126874,38,14.0
Dehnsener Straße,10.1920065,53.1252587,0,
"Amelinghausen, Kirche",10.2126403,53.1245595,34,10.0
Soltauer Straße,10.2084902,53.1247475,29,
Kloster Lüne,10.4233448,53.2609955,9,49.0
Nikolaihof,10.3954401,53.2915066,9,48.0
DRK-Heim,10.4461997,53.2801254,0,
Hasenburger Berg,10.3977854,53.2356105,12,34.0
Zentralfriedhof,10.3988728,53.2370178,14,34.0
Am Eiskeller,10.3850037,53.2362354,23,37.0
Auf dem Knieberg,10.3884282,53.2356314,14,38.0
Heidkamp,10.3931163,53.235028,9,35.0
Meinekenhop,10.3876742,53.2375288,0,
Ringstraße,10.38936,53.2358785,20,37.0
Soltauer Straße (Kurzentrum),10.4016865,53.241219,0,
Sandfeld,10.7222326,53.2853563,7,2.0
Kurt-Löwenstein-Schule,10.7299436,53.2881094,0,
Clamartpark,10.4094815,53.2457263,0,
Hasenburger Schule,10.3973858,53.2331247,12,39.0
Rosenkamp Wendeplatz,10.3809308,53.2237159,0,
Övelgönner Weg,10.3918692,53.2298285,10,34.0
Bahnhofstraße,10.380284,53.2910843,13,33.0
St.-Nikolai-Straße (Schule),10.389031,53.2924355,14,24.0
Königsberger Straße,10.4086651,53.2627692,7,52.0
Pieperstraße,10.3933335,53.2950296,0,
Am Graben,10.4180528,53.2668709,7,48.0
Böcklerstraße/TÜV,10.4098875,53.2716586,4,48.0
Eisenbahnbrücke,10.4189258,53.2623711,4,48.0
Goseburgstraße,10.4181483,53.2646288,0,
Ilmenaucenter,10.4165325,53.2608424,8,48.0
Konrad-Zuse-Allee,10.4169116,53.2561248,6,52.0
Dorfstraße,10.4717328,53.2766905,1,
EDEKA,10.4232857,53.2813577,10,53.0
Brockwinklerweg,10.3863261,53.2570492,0,
"Wendewisch, Hittberger Straße 56",10.6336008,53.3445568,0,
"Erbstorf, Feuerwehr",10.4742246,53.2755275,2,17.0
An der Roten Bleiche (Universität),10.4132004,53.2387357,0,
Feldstraße (Universität),10.4137315,53.2420275,10,43.0
GHS Kreideberg,10.3982108,53.2619427,18,53.0
Herderschule,10.3913545,53.2558772,8,41.0
Spechtsweg,10.4164645,53.2323864,18,43.0
Abzweig Sommerbeck,10.6778814,53.1898413,0,
Ehrenfriedhof,10.7320747,53.1886856,9,3.0
Kanalbrücke,10.4842206,53.2356735,22,13.0
Amselweg,10.3449174,53.1714801,11,10.0
Heinsen,10.3447019,53.1592249,6,10.0
Georg - Chors - Weg,10.2943277,53.2105163,0,
"Boltersen, Bahnhofstraße",10.5663192,53.2757253,0,
Im Ort,10.5308366,53.2861978,8,23.0
Neumühlen bei Rullstorf,10.5858354,53.2874917,5,6.0
Das Rote Feld,10.2405714,53.2353327,14,11.0
"Alt Garge, Hauptstraße",10.8022425,53.2651088,5,0.0
"Eimstorf, Ort",10.6828334,53.1862227,6,3.0
Alte Salzstraße,10.4557029,53.3507868,5,17.0
Artlenburger Landstraße,10.4274564,53.2794438,1,53.0
Bockelheide,10.6403465,53.2810053,6,5.0
"Wittorf, Birkenweg",10.355069,53.3270942,6,22.0
Veilchenring,10.3723079,53.2104621,5,25.0
"Horburg, Im Winkel",10.3944561,53.3597796,8,20.0
"Horburg, Schule",10.4036105,53.3540064,11,20.0
"St. Dionys, Gotenweg",10.397319,53.3352977,0,
"Artlenburg, Hopfenhof",10.4862852,53.3725339,9,17.0
"Barförde, Barförder Elbdeich 22",10.6282233,53.3678943,3,4.0
"Dahlenburg, Mittelfeld",10.7237884,53.1914733,5,3.0
"Dahlenburg, Ehrenfriedhof",10.7314192,53.1888642,8,3.0
"Bockelkathen, Auf dem Kreuze",10.5691162,53.3029267,9,6.0
"Lüdersburg, Bachkoppelweg",10.5722596,53.3102723,6,6.0
"Rosenthal, Ortsmitte",10.6335663,53.3112261,4,5.0
"Bleckeder Moor, Zweiter Moorweg",10.666641,53.2975978,7,5.0
"Karze, Am Rotdorn",10.6752663,53.3154938,0,
"Neu Jürgenstorf, Ort",10.6147204,53.3073398,8,
"Neu Jürgenstorf, Rosenthaler Weg",10.6168856,53.3075161,8,5.0
"Neu Neetze, Haus Nr. 50",10.6323779,53.301733,4,5.0
"Garlstorf, Dorfstraße 36",10.676738,53.3499558,4,4.0
"Garlstorf, Dorfstraße 68",10.6697376,53.3511113,4,4.0
"Radegast, Pferdekoppel",10.7071268,53.3533351,0,
"Radegast, Zum Kirchplatz",10.7246837,53.3451981,1,4.0
"Radegast, Elbuferstraße 41",10.7162708,53.3479752,4,4.0
"Wendewisch, Hittberger Straße 59",10.6473268,53.3539936,0,
"Wendewisch, Siedlung",10.6530073,53.3488213,5,4.0
"Barförde, Feuerwehr",10.6323104,53.3673472,4,4.0
"Barförde, Hinter den Höfen",10.6383729,53.3671791,10,4.0
"Garlstorf, Schmiede",10.6600421,53.3498813,3,4.0
"Bullendorf, Brücke",10.566308,53.3447411,9,12.0
"Hittbergen, Feldstraße",10.5950416,53.3443083,0,
"Hittbergen, Im Kamp",10.5810492,53.34497,5,4.0
"Hittbergen, Schönfeld",10.6152667,53.3642732,0,
Wennekath 5,10.6242331,53.2365926,0,
Wennekath 8,10.6322698,53.236357,1,8.0
Süttorf,10.6354576,53.2479476,4,8.0
Neu Bleckede,10.7471717,53.3024296,4,5.0
"Dahlenburg, Fliederweg",10.7314217,53.1843821,12,3.0
"Lemgrabe, An der Kleinbahn",10.7134588,53.1769326,4,1.0
Birkenhof,10.6980317,53.1972976,0,
"Ellringen, Ellringer Neetzetal",10.703255,53.2234077,8,1.0
Klein Sommerbeck 15,10.6785795,53.2014664,0,
"Wiecheln, Abzweig K 26",10.6766872,53.2240294,5,1.0
"Barskamp, Hohe Luft",10.7771277,53.2415976,4,0.0
Feldstraße,10.3702017,53.2894336,10,33.0
"Radbruch, Peerort",10.2918472,53.3168729,0,
"Echem, Dorfstraße",10.5331709,53.3367656,4,12.0
"Marienthal, Alte Salzstraße",10.4725373,53.3622633,4,17.0
