,element_type,osmid,x,y,geometry,cluster,passengers,name
33,node,364332228,10.4107075,53.2477583,POINT (10.4107075 53.2477583),13,8,Am Sande
34,node,369962274,10.3769693,53.228942,POINT (10.3769693 53.228942),3,7,Oedeme Dorf
35,node,369974664,10.3850765,53.2222253,POINT (10.3850765 53.2222253),,0,Im Kamp
36,node,370660701,10.3971229,53.2300297,POINT (10.3971229 53.2300297),4,5,Scharnhorststraße/DJH
37,node,370660953,10.4000814,53.2311691,POINT (10.4000814 53.2311691),8,8,Blücherstraße
38,node,386915979,10.388762,53.2746341,POINT (10.388762 53.2746341),5,10,Imkerstieg
39,node,387487106,10.4049563,53.2353498,POINT (10.4049563 53.2353498),10,10,MTV-Platz
40,node,387487107,10.4043801,53.2384105,POINT (10.4043801 53.2384105),10,7,Kurpark
41,node,387487109,10.4044333,53.2404345,POINT (10.4044333 53.2404345),8,7,Uelzener Straße (Kurzentrum)
42,node,389040610,10.4052689,53.232103,POINT (10.4052689 53.232103),4,5,Munstermannskamp
43,node,403012157,10.3746107,53.2148267,POINT (10.3746107 53.2148267),1,3,Osterwiese
44,node,403012162,10.371994,53.2117385,POINT (10.371994 53.2117385),1,4,Klosterweg
45,node,409745030,10.3959836,53.2326736,POINT (10.3959836 53.2326736),8,3,Ginsterweg
46,node,410742086,10.4223308,53.2459133,POINT (10.4223308 53.2459133),12,9,Am Schwalbenberg
47,node,410750968,10.4072015,53.245682,POINT (10.4072015 53.245682),10,8,Wallstraße (Theater)
48,node,410750969,10.4038332,53.2429593,POINT (10.4038332 53.2429593),8,5,Postamt
49,node,410751815,10.3940989,53.2255233,POINT (10.3940989 53.2255233),3,1,Hasenburg
50,node,410751820,10.3854737,53.2211913,POINT (10.3854737 53.2211913),1,8,Eintracht Sportplatz
51,node,411082313,10.3816755,53.21947,POINT (10.3816755 53.21947),1,2,Am Bahnhof Rettmer
52,node,411082314,10.3746747,53.2134269,POINT (10.3746747 53.2134269),1,7,Wiesengrund
53,node,411085018,10.3783934,53.2099019,POINT (10.3783934 53.2099019),1,6,Pilgerpfad
54,node,411100376,10.3882696,53.2112187,POINT (10.3882696 53.2112187),1,1,Am Wischfeld
55,node,411100377,10.3879839,53.2138366,POINT (10.3879839 53.2138366),1,8,Hessenweg (Mitte)
56,node,411100378,10.3886319,53.2166547,POINT (10.3886319 53.2166547),1,3,Am Bäckfeld
57,node,411100381,10.387037,53.2197354,POINT (10.387037 53.2197354),1,6,Häcklinger Weg
58,node,414134112,10.4076949,53.2439859,POINT (10.4076949 53.2439859),8,8,Stadttheater
59,node,414134154,10.3929476,53.244192,POINT (10.3929476 53.244192),7,4,Sültenweg
60,node,414137468,10.3881566,53.2461189,POINT (10.3881566 53.2461189),7,4,Am Grasweg
61,node,414154230,10.3847644,53.2489566,POINT (10.3847644 53.2489566),7,3,Jägerstraße
62,node,414160019,10.3874009,53.2494991,POINT (10.3874009 53.2494991),7,5,Johanna-Stegen-Straße
63,node,414160021,10.3924213,53.2500778,POINT (10.3924213 53.2500778),6,4,Vor dem Neuen Tore
64,node,414165032,10.3938125,53.2511306,POINT (10.3938125 53.2511306),6,3,Dörnbergstraße
65,node,414165037,10.3923654,53.2565779,POINT (10.3923654 53.2565779),6,2,Witzendorffstraße
66,node,414167814,10.3911893,53.2614652,POINT (10.3911893 53.2614652),6,1,Ebelingweg
67,node,414191748,10.3852786,53.2693964,POINT (10.3852786 53.2693964),5,6,Naruto-Straße
68,node,414191934,10.3867792,53.2706226,POINT (10.3867792 53.2706226),5,8,Krähornsberg
69,node,414237514,10.3895463,53.2794573,POINT (10.3895463 53.2794573),5,8,Teilfeld
70,node,414576607,10.4044742,53.2699592,POINT (10.4044742 53.2699592),5,6,Wilhelm-Hänel-Weg
71,node,415596176,10.3891011,53.2686373,POINT (10.3891011 53.2686373),5,2,Am Wildgehege
72,node,415596178,10.3930618,53.255513,POINT (10.3930618 53.255513),6,9,Laffertstraße
73,node,415596179,10.3996894,53.2540821,POINT (10.3996894 53.2540821),6,6,Schomakerstraße
74,node,415596180,10.4002528,53.2521255,POINT (10.4002528 53.2521255),9,7,Am Springintgut
75,node,415596181,10.4027651,53.2509053,POINT (10.4027651 53.2509053),7,7,Am Graalwall
76,node,415596182,10.4040892,53.2478008,POINT (10.4040892 53.2478008),13,10,Neue Sülze
77,node,415596183,10.4031072,53.2456516,POINT (10.4031072 53.2456516),8,12,Lambertiplatz
78,node,415971822,10.4068106,53.2506572,POINT (10.4068106 53.2506572),11,5,Rathaus
79,node,417024690,10.4102138,53.2406193,POINT (10.4102138 53.2406193),10,8,Kefersteinstraße (UNI)
80,node,420486166,10.4452134,53.2035664,POINT (10.4452134 53.2035664),,0,Schützenstraße
81,node,430086361,10.4042363,53.255164,POINT (10.4042363 53.255164),9,4,Am Kreideberg
82,node,430086363,10.4020549,53.2556211,POINT (10.4020549 53.2556211),9,6,Stöteroggestraße (Süd)
83,node,430086365,10.3989629,53.2574691,POINT (10.3989629 53.2574691),6,2,Boizenburger Straße
84,node,430086366,10.3943921,53.2585943,POINT (10.3943921 53.2585943),6,5,Thorner Straße (West)
85,node,430086367,10.3997927,53.2595982,POINT (10.3997927 53.2595982),6,10,Thorner Platz
86,node,430086368,10.4032549,53.2606612,POINT (10.4032549 53.2606612),9,7,Salzwedeler Straße
87,node,430086370,10.4028514,53.2627146,POINT (10.4028514 53.2627146),9,4,Elbinger Straße
88,node,430086371,10.401462,53.2641491,POINT (10.401462 53.2641491),9,8,Dessauer Straße
89,node,430086372,10.3993732,53.266558,POINT (10.3993732 53.266558),9,3,Magdeburger Straße
90,node,430086374,10.3993537,53.2644566,POINT (10.3993537 53.2644566),9,7,Stöteroggestraße (Nord)
91,node,444017996,10.3832526,53.2287752,POINT (10.3832526 53.2287752),3,6,Hasenburger Weg
92,node,471792857,10.4599879,53.2437212,POINT (10.4599879 53.2437212),0,3,Lilienthalstraße
93,node,471794057,10.4625961,53.245733,POINT (10.4625961 53.245733),0,1,Von-Stern-Straße
94,node,471794059,10.4692372,53.249358,POINT (10.4692372 53.249358),0,3,Eisenwerk
95,node,471796358,10.4656699,53.248161,POINT (10.4656699 53.248161),0,2,Gebrüder-Heyn-Straße
96,node,471796360,10.4473637,53.2440639,POINT (10.4473637 53.2440639),0,2,Hagen-Schule
97,node,471796939,10.4425033,53.2452459,POINT (10.4425033 53.2452459),0,1,Wacholderweg
98,node,475959143,10.4381585,53.2465445,POINT (10.4381585 53.2465445),2,5,Ahornweg
99,node,522791942,10.3957654,53.2839468,POINT (10.3957654 53.2839468),5,6,Landwehr
100,node,522795523,10.3983505,53.2810195,POINT (10.3983505 53.2810195),5,4,Hagemannsweg
101,node,538482515,10.410347,53.2094935,POINT (10.410347 53.2094935),4,3,Rote Schleuse
102,node,538482521,10.4054578,53.22347,POINT (10.4054578 53.22347),4,4,Bernhard-Riemann-Straße
103,node,574834364,10.3744107,53.2644052,POINT (10.3744107 53.2644052),6,2,Kulturforum Wienebüttel
104,node,595316447,10.428384,53.2715467,POINT (10.428384 53.2715467),2,3,Schwarzer Weg
105,node,596510627,10.4541438,53.2614926,POINT (10.4541438 53.2614926),2,5,Gut Olm
106,node,596510630,10.4600774,53.2637503,POINT (10.4600774 53.2637503),2,3,Abzweigung Ebensberg
107,node,598165240,10.4436723,53.2608865,POINT (10.4436723 53.2608865),2,3,Hölderlinstraße
108,node,734659529,10.4399979,53.242081,POINT (10.4399979 53.242081),,0,Ostlandring
109,node,734659530,10.4423226,53.2409945,POINT (10.4423226 53.2409945),12,6,Freibad
110,node,795056872,10.4167169,53.26866,POINT (10.4167169 53.26866),5,3,Goebelstraße
111,node,818722480,10.4837546,53.2364276,POINT (10.4837546 53.2364276),14,2,Otto-Brenner-Straße (Kehre)
112,node,869281373,10.4057395,53.2669292,POINT (10.4057395 53.2669292),5,5,Sternkamp
113,node,871730916,10.4412818,53.2495011,POINT (10.4412818 53.2495011),2,2,Bunsenstraße
114,node,871731608,10.4400425,53.2473918,POINT (10.4400425 53.2473918),2,2,Bachstraße
115,node,902415882,10.3790788,53.2244958,POINT (10.3790788 53.2244958),3,9,Rosenkamp
116,node,902415888,10.3767866,53.2247574,POINT (10.3767866 53.2247574),3,3,Schmiedestraße
117,node,902415900,10.3725779,53.2263697,POINT (10.3725779 53.2263697),3,3,Rehrweg
118,node,915967687,10.3840653,53.249349,POINT (10.3840653 53.249349),7,2,Volgershall/UNI
119,node,924513262,10.397306,53.2407753,POINT (10.397306 53.2407753),7,9,Städtisches Klinikum
120,node,1039463414,10.4313902,53.2509696,POINT (10.4313902 53.2509696),2,5,Behördenzentrum (Ost)
121,node,1048704480,10.3880794,53.2543494,POINT (10.3880794 53.2543494),6,5,Psychiatrische Klinik
122,node,1108268733,10.4047332,53.2741646,POINT (10.4047332 53.2741646),5,2,Bei der Pferdehütte
123,node,1116593359,10.3812801,53.2465139,POINT (10.3812801 53.2465139),7,7,Alec-Moore-Straße
124,node,1116593365,10.3985975,53.2452478,POINT (10.3985975 53.2452478),7,10,Am Bargenturm
125,node,1116593369,10.4689526,53.2613986,POINT (10.4689526 53.2613986),2,1,Heidkoppelweg
126,node,1116593371,10.4680489,53.2602671,POINT (10.4680489 53.2602671),2,4,Memeler Straße
127,node,1116593375,10.38069,53.2448537,POINT (10.38069 53.2448537),7,3,William-Watt-Straße
128,node,1116593381,10.463416,53.2641335,POINT (10.463416 53.2641335),2,4,Allensteiner Straße
129,node,1116593396,10.3849708,53.2479273,POINT (10.3849708 53.2479273),7,3,Jüttkenmoor
130,node,1116593409,10.4720436,53.2599796,POINT (10.4720436 53.2599796),2,6,Am Ziegeleiteich
131,node,1156522335,10.4425957,53.2755805,POINT (10.4425957 53.2755805),,0,Steinweg
132,node,1181280550,10.4083952,53.235035,POINT (10.4083952 53.235035),10,2,Friedrich-Ludwig-Jahn-Straße
133,node,1181280590,10.4097351,53.2437968,POINT (10.4097351 53.2437968),10,6,Rotes Tor
134,node,1181280625,10.4104754,53.2351006,POINT (10.4104754 53.2351006),10,6,Goethestraße
135,node,1181280845,10.4519518,53.2428075,POINT (10.4519518 53.2428075),0,3,Hagen Wendeplatz
136,node,1181280913,10.4278875,53.2510849,POINT (10.4278875 53.2510849),11,10,Hopfengarten
137,node,1181280956,10.4108562,53.2377319,POINT (10.4108562 53.2377319),10,9,Wielandstraße
138,node,1181280963,10.4349723,53.2509447,POINT (10.4349723 53.2509447),2,4,Hans-Steffens-Weg
139,node,1181280987,10.4047485,53.222771,POINT (10.4047485 53.222771),4,4,Gaußstraße
140,node,1181281148,10.4039471,53.2267352,POINT (10.4039471 53.2267352),4,5,Heinrich-Böll-Straße
141,node,1187269501,10.4015929,53.2275296,POINT (10.4015929 53.2275296),4,5,Carl-von-Ossietzky-Straße
142,node,1195426701,10.478437,53.2423045,POINT (10.478437 53.2423045),0,5,Otto-Brenner-Straße
143,node,1195426702,10.4592049,53.2448717,POINT (10.4592049 53.2448717),0,7,Flugplatz
144,node,1195426707,10.4459578,53.2455633,POINT (10.4459578 53.2455633),0,5,Walter-Bötcher-Straße
145,node,1195426708,10.4492537,53.2461948,POINT (10.4492537 53.2461948),0,3,Stadtkoppel
146,node,1195426715,10.4778019,53.2402935,POINT (10.4778019 53.2402935),0,2,Kurt-Höbold-Straße
147,node,1195426718,10.4429666,53.2447657,POINT (10.4429666 53.2447657),0,2,Richard-Brauer-Straße
148,node,1195426726,10.477347,53.2465791,POINT (10.477347 53.2465791),0,5,Elso-Klöver-Straße
149,node,1195426727,10.4300483,53.2478555,POINT (10.4300483 53.2478555),12,8,Gellersstraße
150,node,1195426730,10.4760492,53.2390287,POINT (10.4760492 53.2390287),0,8,Wilhelm-Fressel-Straße
151,node,1321746678,10.3914278,53.2407532,POINT (10.3914278 53.2407532),7,3,Schildsteinweg
152,node,1348734466,10.4121817,53.2554488,POINT (10.4121817 53.2554488),9,4,Finanzamt
153,node,1348734468,10.4105509,53.2603115,POINT (10.4105509 53.2603115),9,3,Auf dem Schmaarkamp
154,node,1348734473,10.4136152,53.2583328,POINT (10.4136152 53.2583328),,0,Auf der Hude
155,node,1349023125,10.3849925,53.2598361,POINT (10.3849925 53.2598361),6,5,Tennispark
156,node,1349023151,10.3866216,53.256493,POINT (10.3866216 53.256493),6,2,Brockwinkler Weg
157,node,1580923936,10.4055348,53.2094134,POINT (10.4055348 53.2094134),4,5,Neu Häcklingen
158,node,1757030062,10.4069669,53.2650556,POINT (10.4069669 53.2650556),5,2,Zeltberg
159,node,1781853981,10.3675583,53.2652064,POINT (10.3675583 53.2652064),6,2,Pumpenstation
160,node,2015120617,10.4260987,53.2788106,POINT (10.4260987 53.2788106),11,2,Vrestorfer Weg
161,node,2328939473,10.384344,53.2382175,POINT (10.384344 53.2382175),8,9,Teufelsküche
162,node,2632455483,10.388196,53.23946,POINT (10.388196 53.23946),7,8,Ernst-Braune-Straße
163,node,2745085368,10.4010697,53.2300356,POINT (10.4010697 53.2300356),4,5,Leuphana
164,node,2848418354,10.4227875,53.2748865,POINT (10.4227875 53.2748865),11,8,Lüner Rennbahn
165,node,2848418355,10.4249277,53.2727519,POINT (10.4249277 53.2727519),11,9,Schlachthof
166,node,2878572398,10.4613219,53.2384976,POINT (10.4613219 53.2384976),0,8,Auf den Blöcken
167,node,2973160587,10.4128482,53.2697777,POINT (10.4128482 53.2697777),5,1,Bessemerstraße
168,node,3007498666,10.4362805,53.2390035,POINT (10.4362805 53.2390035),13,6,SZ Kaltenmoor
169,node,3008184424,10.3697803,53.2139069,POINT (10.3697803 53.2139069),1,4,Rettmer (Mitte)
170,node,3010809632,10.4233448,53.2609955,POINT (10.4233448 53.2609955),2,6,Kloster Lüne
171,node,3046813394,10.3977854,53.2356105,POINT (10.3977854 53.2356105),8,5,Hasenburger Berg
172,node,3046813396,10.3988728,53.2370178,POINT (10.3988728 53.2370178),8,4,Zentralfriedhof
173,node,3056385717,10.3850037,53.2362354,POINT (10.3850037 53.2362354),3,7,Am Eiskeller
174,node,3056385718,10.3884282,53.2356314,POINT (10.3884282 53.2356314),3,10,Auf dem Knieberg
175,node,3056385719,10.3931163,53.235028,POINT (10.3931163 53.235028),3,7,Heidkamp
176,node,3056385720,10.3876742,53.2375288,POINT (10.3876742 53.2375288),3,4,Meinekenhop
177,node,3056385721,10.38936,53.2358785,POINT (10.38936 53.2358785),3,5,Ringstraße
178,node,3109981532,10.4016865,53.241219,POINT (10.4016865 53.241219),8,4,Soltauer Straße (Kurzentrum)
179,node,3136293741,10.4094815,53.2457263,POINT (10.4094815 53.2457263),13,9,Clamartpark
180,node,3191900781,10.3973858,53.2331247,POINT (10.3973858 53.2331247),8,4,Hasenburger Schule
181,node,3191932659,10.3809308,53.2237159,POINT (10.3809308 53.2237159),1,14,Rosenkamp Wendeplatz
182,node,3191932961,10.3918692,53.2298285,POINT (10.3918692 53.2298285),3,3,Övelgönner Weg
183,node,3227603542,10.4086651,53.2627692,POINT (10.4086651 53.2627692),9,7,Königsberger Straße
184,node,3233157084,10.4180528,53.2668709,POINT (10.4180528 53.2668709),11,2,Am Graben
185,node,3233157086,10.4098875,53.2716586,POINT (10.4098875 53.2716586),5,2,Böcklerstraße/TÜV
186,node,3233157088,10.4189258,53.2623711,POINT (10.4189258 53.2623711),11,3,Eisenbahnbrücke
187,node,3233157090,10.4181483,53.2646288,POINT (10.4181483 53.2646288),11,2,Goseburgstraße
188,node,3233157092,10.4165325,53.2608424,POINT (10.4165325 53.2608424),9,3,Ilmenaucenter
189,node,3233157094,10.4169116,53.2561248,POINT (10.4169116 53.2561248),11,1,Konrad-Zuse-Allee
190,node,3241135968,10.4232857,53.2813577,POINT (10.4232857 53.2813577),11,3,EDEKA
191,node,3273986768,10.3863261,53.2570492,POINT (10.3863261 53.2570492),,0,Brockwinklerweg
192,node,3338569132,10.4132004,53.2387357,POINT (10.4132004 53.2387357),10,3,An der Roten Bleiche (Universität)
193,node,3338569134,10.4137315,53.2420275,POINT (10.4137315 53.2420275),13,4,Feldstraße (Universität)
194,node,3348003479,10.3982108,53.2619427,POINT (10.3982108 53.2619427),6,1,GHS Kreideberg
195,node,3348003480,10.3913545,53.2558772,POINT (10.3913545 53.2558772),6,5,Herderschule
196,node,3348003482,10.4164645,53.2323864,POINT (10.4164645 53.2323864),10,8,Spechtsweg
197,node,3350545356,10.4842206,53.2356735,POINT (10.4842206 53.2356735),0,9,Kanalbrücke
198,node,3770564722,10.3723079,53.2104621,POINT (10.3723079 53.2104621),1,2,Veilchenring
199,node,6104223415,10.4329656,53.2528511,POINT (10.4329656 53.2528511),12,5,Tartuer Platz
200,node,7061659845,10.4451221,53.2312612,POINT (10.4451221 53.2312612),14,7,Konrad-Adenauer-Straße Ost
