name,passengers
Wilhelm-Fressel-Straße,8
Große Hof,7
Abzw. Betzendorf,3
Schildsteinweg,0
Bauerholzweg,7
Kampweg,5
Wiesenweg,4
Mühlenberg,9
Bokenkamp,8
Finanzamt,7
Auf dem Schmaarkamp,6
Auf der Hude,0
Tennispark,12
Kiefernweg,15
Brockwinkler Weg,6
Dachtmisser Weg,8
Niendorfer Weg,5
Große Straße,1
"Göddingen, Wöppenberg",6
"Göddingen, Am Fischteich",6
Neu Oerzen,6
"Wendhausen, Im Ort",5
"Melbeck, Gymnasium",5
Ebstorfer Straße,6
"Barendorf, Dorfstraße",10
Neu Häcklingen,8
Am Rischpool,4
Robert-Schumann-Straße,2
Königsberger Weg,0
Kornblumenweg,0
Röthenweg,1
Zeltberg,4
Dorfplatz,10
Am Stadtberg,0
Pumpenstation,5
Friedhofsweg,9
Heimathaus,5
Marschweg,6
"Bleckede, Auf dem Kamp",1
Saatbau,0
Fähranleger,2
Buendorf,6
Quickborn,5
"Nindorf bei Bleckede, L222",0
"Bleckede, Dahlenburger Straße",6
"Bleckede, Waldfrieden",0
"Neu Wendischthun, Abzweig",4
Neu Wendischthun,4
Vor der Westermarsch,16
"Artlenburg, Elbdeich",0
Scharnebecker Straße,7
"Rullstorf, Am Neetzekanal",0
"Vastorf, Abzweigung Bahnhof",6
Denkmal,11
"Brietlingen, Ort",0
"Walmsburg, Bruchdorfer Straße",5
"Garze, Große Straße 29",4
"Nutzfelde, Am Walde",4
Vrestorfer Weg,11
Thiessendörper Weg,14
Am Diemel,5
Ätzberg,6
"Hittbergen, Roggenberg",0
Südergellerser Weg,17
Hauptstraße (L 216),19
Teufelsküche,9
Im Dorfe,22
Neu Süttorf,5
Am Dorfplatz,0
"Sülbeck, An den Eichen (L 221)",2
Bühringsmoor,10
Radbrucher Weg,12
Wendeplatz,14
Witwenkamp,15
Ernst-Braune-Straße,7
"Hittbergen, Kirche",5
Leuphana,0
Ort,4
"Neu Neetze, Am Milchberg",0
"Neu Neetze, Birkenhof",10
"Bleckeder Moor, Abzweigung",0
"Karze, Auf dem Weel",8
Große Straße 71,4
Große Straße 3,7
Lüner Rennbahn,0
Schlachthof,0
Auf den Blöcken,0
"Bleckede, Rathaus",5
Töpferdamm,0
"Walmsburg, Kateminer Straße",7
"Barskamp, Markt",4
"Bleckede, Elbweg",0
"Alt Garge, Waldbad",8
Brennbusch,5
Walmsburger Straße,1
Turnhalle,6
,7
"Bleckede, Schiedenitzweg",2
Schieringen,8
"Reeßeln, Abzweigung",4
"Breetze, Bokelstraße",5
"Breetze, Ziegelei",3
"Artlenburg, Ost",7
Bessemerstraße,5
SZ Kaltenmoor,0
Rettmer (Mitte),0
"Oerzen, Im Dorfe",2
"Amelinghausen, Grundschule",30
Kastanienweg,38
Dehnsener Straße,0
"Amelinghausen, Kirche",34
Soltauer Straße,29
Kloster Lüne,9
Nikolaihof,9
DRK-Heim,0
Hasenburger Berg,12
Zentralfriedhof,14
Am Eiskeller,23
Auf dem Knieberg,14
Heidkamp,9
Meinekenhop,0
Ringstraße,20
Soltauer Straße (Kurzentrum),0
Sandfeld,7
Kurt-Löwenstein-Schule,0
Clamartpark,0
Hasenburger Schule,12
Rosenkamp Wendeplatz,0
Övelgönner Weg,10
Bahnhofstraße,13
St.-Nikolai-Straße (Schule),14
Königsberger Straße,7
Pieperstraße,0
Am Graben,7
Böcklerstraße/TÜV,4
Eisenbahnbrücke,4
Goseburgstraße,0
Ilmenaucenter,8
Konrad-Zuse-Allee,6
Dorfstraße,1
EDEKA,10
Brockwinklerweg,0
"Wendewisch, Hittberger Straße 56",0
"Erbstorf, Feuerwehr",2
An der Roten Bleiche (Universität),0
Feldstraße (Universität),10
GHS Kreideberg,18
Herderschule,8
Spechtsweg,18
Abzweig Sommerbeck,0
Ehrenfriedhof,9
Kanalbrücke,22
Amselweg,11
Heinsen,6
Georg - Chors - Weg,0
"Boltersen, Bahnhofstraße",0
Im Ort,8
Neumühlen bei Rullstorf,5
Das Rote Feld,14
"Alt Garge, Hauptstraße",5
"Eimstorf, Ort",6
Alte Salzstraße,5
Artlenburger Landstraße,1
Bockelheide,6
"Wittorf, Birkenweg",6
Veilchenring,5
"Horburg, Im Winkel",8
"Horburg, Schule",11
"St. Dionys, Gotenweg",0
"Artlenburg, Hopfenhof",9
"Barförde, Barförder Elbdeich 22",3
"Dahlenburg, Mittelfeld",5
"Dahlenburg, Ehrenfriedhof",8
"Bockelkathen, Auf dem Kreuze",9
"Lüdersburg, Bachkoppelweg",6
"Rosenthal, Ortsmitte",4
"Bleckeder Moor, Zweiter Moorweg",7
"Karze, Am Rotdorn",0
"Neu Jürgenstorf, Ort",8
"Neu Jürgenstorf, Rosenthaler Weg",8
"Neu Neetze, Haus Nr. 50",4
"Garlstorf, Dorfstraße 36",4
"Garlstorf, Dorfstraße 68",4
"Radegast, Pferdekoppel",0
"Radegast, Zum Kirchplatz",1
"Radegast, Elbuferstraße 41",4
"Wendewisch, Hittberger Straße 59",0
"Wendewisch, Siedlung",5
"Barförde, Feuerwehr",4
"Barförde, Hinter den Höfen",10
"Garlstorf, Schmiede",3
"Bullendorf, Brücke",9
"Hittbergen, Feldstraße",0
"Hittbergen, Im Kamp",5
"Hittbergen, Schönfeld",0
Wennekath 5,0
Wennekath 8,1
Süttorf,4
Neu Bleckede,4
"Dahlenburg, Fliederweg",12
"Lemgrabe, An der Kleinbahn",4
Birkenhof,0
"Ellringen, Ellringer Neetzetal",8
Klein Sommerbeck 15,0
"Wiecheln, Abzweig K 26",5
"Barskamp, Hohe Luft",4
Feldstraße,10
"Radbruch, Peerort",0
"Echem, Dorfstraße",4
"Marienthal, Alte Salzstraße",4
"Radbruch, Mühle",16
"Radbruch, Wittorferweg",14
"Bardowick, Wendeplatz",13
Hamburger Landstraße,0
"Artlenburg, Mühle",10
"Dachtmissen, Waldweg",0
"Wittorf, Hauptstraße",0
"Wittorf, Brücke",13
"Wittorf, Neulander Weg",9
"Handorf, Mühle",9
"Handorf, Ortsmitte",13
"Vastorf, Gifkendorfer Straße",4
"Vastorf, Bahnbrücke",6
"Horndorf, Kreuzung B 216",0
"Rohstorf, Ort",0
Volkstorf,5
Schule B,4
"Ellringen, Kettelberg",4
"Neetze, Am Ried",0
"Neu Jürgenstorf, Ahrenschulter",0
"Rosenthal, L 219",2
Vogelsang 11,4
"Vogelsang, Ort",4
"Bleckeder Moor, Heidmoor",0
"Bleckeder Moor, Fuchsweg",0
"Garlstorf, Neu Brackede",5
"Brackede, Abzweig Garlstorf",0
"Barförde, Poggenort",3
"Barförde, Elbdeich 15",7
Kirchgellerser Straße,12
"Südergellersen, Stähwiesen",9
"Kirchgellersen, Grundschule",0
Dachtmisser Straße,15
"Amelinghausen, Bahnhof",35
Tartuer Platz,5
"Wendhausen, Wendenstraße",6
"Holzen, Op dan Brink",10
"Neu Neetze, Denker",10
"Gienau, Wiebecker Straße",7
Groß Sommerbeck 3,0
"Neu Neetze, Tennisclub",0
Konrad-Adenauer-Straße Ost,22
