name,x,y,osmid,passengers,cluster
Blücherstraße,10.4000814,53.2311691,1658400344,3,34.0
Imkerstieg,10.388762,53.2746341,249238920,10,44.0
Neue Straße,10.431328,53.274525,387439255,1,32.0
Danziger Weg,10.4383568,53.2816633,546443116,1,32.0
MTV-Platz,10.4049563,53.2353498,268638584,6,40.0
Kurpark,10.4043801,53.2384105,111246549,8,49.0
Uelzener Straße (Kurzentrum),10.4044333,53.2404345,114242620,7,49.0
Munstermannskamp,10.4052689,53.232103,305382797,11,40.0
Osterwiese,10.3746107,53.2148267,402986884,9,27.0
Klosterweg,10.371994,53.2117385,403012178,5,27.0
Ginsterweg,10.3959836,53.2326736,3348587797,9,29.0
Am Schwalbenberg,10.4223308,53.2459133,1057013365,4,42.0
Wallstraße (Theater),10.4072015,53.245682,262253660,15,52.0
Postamt,10.4038332,53.2429593,539018433,9,49.0
Hasenburg,10.3940989,53.2255233,297426712,6,27.0
Eintracht Sportplatz,10.3854737,53.2211913,389948830,11,23.0
Am Bahnhof Rettmer,10.3816755,53.21947,402916911,7,24.0
Wiesengrund,10.3746747,53.2134269,403012164,4,27.0
Pilgerpfad,10.3783934,53.2099019,2618162533,7,27.0
Am Wischfeld,10.3882696,53.2112187,7799257024,8,24.0
Hessenweg (Mitte),10.3879839,53.2138366,3267192184,10,24.0
Am Bäckfeld,10.3886319,53.2166547,393498311,7,24.0
Häcklinger Weg,10.387037,53.2197354,402916874,7,24.0
B 4 Parkplatz,10.345182,53.3345096,353270704,6,0.0
Stadttheater,10.4076949,53.2439859,268415869,10,48.0
Sültenweg,10.3929476,53.244192,2907063685,12,51.0
Am Grasweg,10.3881566,53.2461189,318640483,8,51.0
Jägerstraße,10.3847644,53.2489566,382390327,7,33.0
Johanna-Stegen-Straße,10.3874009,53.2494991,268233024,5,33.0
Vor dem Neuen Tore,10.3924213,53.2500778,178848802,5,33.0
Dörnbergstraße,10.3938125,53.2511306,828077495,9,33.0
Witzendorffstraße,10.3923654,53.2565779,308648777,5,46.0
Ebelingweg,10.3911893,53.2614652,4827722223,9,44.0
Naruto-Straße,10.3852786,53.2693964,414191921,8,44.0
Krähornsberg,10.3867792,53.2706226,381911675,9,44.0
Teilfeld,10.3895463,53.2794573,414237511,12,18.0
Wilhelm-Hänel-Weg,10.4044742,53.2699592,2371152648,14,39.0
Am Wildgehege,10.3891011,53.2686373,317133890,5,44.0
Laffertstraße,10.3930618,53.255513,1037002221,13,46.0
Schomakerstraße,10.3996894,53.2540821,293976961,7,47.0
Am Springintgut,10.4002528,53.2521255,178844318,10,47.0
Am Graalwall,10.4027651,53.2509053,121149168,11,38.0
Neue Sülze,10.4040892,53.2478008,2990731692,13,47.0
Lambertiplatz,10.4031072,53.2456516,262253493,18,47.0
Rathaus,10.4068106,53.2506572,262229788,10,38.0
Kefersteinstraße (UNI),10.4102138,53.2406193,181308509,9,49.0
Gut Willerding,10.4566119,53.225116,109895066,4,25.0
Bahnhof,10.4336107,53.2000625,385545644,7,22.0
Von-Kleist-Weg,10.4311623,53.1971633,385545626,7,22.0
"Deutsch Evern, Fritz-Reuter-Straße",10.4284361,53.1939183,1834313719,4,22.0
"Deutsch Evern, Friedhof",10.4232358,53.1924397,1834313713,4,22.0
Deutsch Everner Weg,10.4159088,53.1860963,420381006,6,9.0
"Deutsch Evern, An der Ilmenau",10.4196648,53.1957057,385545545,4,24.0
"Deutsch Evern, Wandelfeld",10.4201711,53.1978557,393415825,5,22.0
"Deutsch Evern, Finkenstieg",10.4204929,53.2018114,385545543,3,24.0
"Deutsch Evern, Petersberg",10.4170104,53.2056615,385545536,5,24.0
"Deutsch Evern, Am Tiergarten",10.4186211,53.2073704,272618493,2,24.0
"Deutsch Evern, Tiergartenstraße",10.4293826,53.2061751,7462422450,8,22.0
"Deutsch Evern, Birkenweg",10.4432816,53.2042662,309179087,2,22.0
Schützenstraße,10.4452134,53.2035664,5254285882,6,22.0
Im Alten Dorfe,10.2968669,53.2083215,2316338604,7,10.0
Am Kreideberg,10.4042363,53.255164,181396837,5,46.0
Stöteroggestraße (Süd),10.4020549,53.2556211,181396824,10,46.0
Boizenburger Straße,10.3989629,53.2574691,500905961,7,46.0
Thorner Straße (West),10.3943921,53.2585943,1029618352,6,46.0
Thorner Platz,10.3997927,53.2595982,312506373,10,45.0
Salzwedeler Straße,10.4032549,53.2606612,253248083,4,45.0
Elbinger Straße,10.4028514,53.2627146,312510075,13,45.0
Dessauer Straße,10.401462,53.2641491,312510076,3,45.0
Magdeburger Straße,10.3993732,53.266558,534870775,13,45.0
Stöteroggestraße (Nord),10.3993537,53.2644566,534870781,9,45.0
Brücke,10.3810417,53.331609,2537095304,6,0.0
Hasenburger Weg,10.3832526,53.2287752,408449519,7,29.0
Wallstraße,10.3864893,53.3009499,1678365436,9,12.0
Elba,10.4271323,53.2961666,312185027,2,17.0
Landwehrplatz,10.3574147,53.2479717,9028646324,6,31.0
Bardowicker Straße,10.5031696,53.2949054,443886412,6,28.0
Lübbelau,10.4989646,53.2938205,344892589,11,28.0
Finkenweg,10.3619305,53.2704586,286511203,8,26.0
"Lemgrabe, Am Hasenberg",10.7044397,53.1711381,314645636,5,2.0
Lilienthalstraße,10.4599879,53.2437212,1599089598,4,30.0
Von-Stern-Straße,10.4625961,53.245733,1599748806,6,30.0
Eisenwerk,10.4692372,53.249358,119994771,4,30.0
Gebrüder-Heyn-Straße,10.4656699,53.248161,7819577982,6,30.0
Hagen-Schule,10.4473637,53.2440639,373161834,4,35.0
Wacholderweg,10.4425033,53.2452459,119100610,3,35.0
Ahornweg,10.4381585,53.2465445,301874635,4,35.0
Adendorfer Straße,10.5003095,53.2907226,672754332,12,32.0
Boltersener Straße,10.5367548,53.2835213,494088099,5,28.0
"Boltersen, Rullstorfer Straße",10.5655161,53.2754359,4346393490,3,19.0
Nutzfelder Weg,10.5301085,53.2861568,324239002,6,28.0
Hauptstraße,10.5054053,53.2911209,1050068557,5,28.0
Sportzentrum,10.4553245,53.2890979,2869209506,3,17.0
Grundschule,10.5095283,53.2926817,476600749,11,28.0
Weinbergsweg Schule,10.4327074,53.2822368,304638989,0,
Meisterstraße,10.5102281,53.2939604,339024845,2,28.0
Jürgenstorfer Straße,10.5973461,53.3233128,489755319,7,13.0
K 2 / Zum Bahnhof,10.528343,53.2892813,30093348,4,28.0
Alte Dorfstraße,10.5397765,53.2891528,1204223255,4,28.0
"Scharnebeck, Echemer Straße",10.5057743,53.297607,567004808,6,28.0
"Lentenau, K28",10.5054742,53.2755473,1086281126,4,32.0
"Reinstorf, Reinstorfer Kreuz",10.5684264,53.220633,5113420637,5,21.0
Im Sande,10.2803467,53.2301573,416969347,5,14.0
Kirche,10.2939288,53.2303584,266917632,12,14.0
Im Wiesengrund,10.3009457,53.2311062,8708546811,4,16.0
Landwehr,10.3957654,53.2839468,3060045192,8,12.0
Hagemannsweg,10.3983505,53.2810195,454631858,6,12.0
Schulzentrum,10.4967743,53.2896025,417443430,6,32.0
Floetstraße,10.4091665,53.1800477,1705557196,4,3.0
Rote Schleuse,10.410347,53.2094935,277399793,9,24.0
"Melbeck, Uelzener Straße",10.4178352,53.1752435,8524206695,6,22.0
Bernhard-Riemann-Straße,10.4054578,53.22347,3037235993,8,34.0
Von-Stauffenberg-Straße,10.4401651,53.282214,244401296,0,
Rauher Weg,10.434875,53.276487,301562193,0,
"Heiligenthal, Ort",10.3359066,53.2202422,558971480,12,23.0
In de Tüünen,10.336901,53.2195772,470937620,7,23.0
Heiligenthaler Straße,10.3021503,53.2287282,503301564,6,16.0
"Melbeck, Danziger Straße",10.3722583,53.1809678,564137024,10,9.0
"Embsen, Siedlung",10.3612379,53.1806562,577366509,6,9.0
Kulturforum Wienebüttel,10.3744107,53.2644052,287098768,3,47.0
"Brietlingen, Schierenweg",10.4343011,53.3141351,577733836,5,17.0
"Brietlingen, Moorweg",10.4397463,53.3174256,382009302,5,17.0
Ritzkamper Weg,10.4574358,53.327569,309229350,6,17.0
Schwarzer Weg,10.428384,53.2715467,346183779,9,32.0
Gut Olm,10.4541438,53.2614926,302310334,9,46.0
Abzweigung Ebensberg,10.4600774,53.2637503,7051227607,7,17.0
Erbstorfer Landstraße,10.4778683,53.2739834,4338084488,0,
Hölderlinstraße,10.4436723,53.2608865,988590957,7,36.0
"Wendewisch, Campingplatz",10.6501668,53.3587971,290823819,3,1.0
"Riecklingen, Abzweigung",10.7099559,53.205882,1049251506,6,2.0
Leestahl 2,10.6997246,53.2079337,317985520,6,2.0
Am Kirchkamp,10.6965007,53.1789467,1854036439,5,2.0
Schule A,10.5369096,53.2254603,121136981,7,
"Embsen, Bahnhofstraße",10.3454169,53.177286,277260345,2,9.0
"Embsen, Querlberg",10.3510466,53.1737042,663386180,5,9.0
"Horndorf, Zur Doven Elbe",10.5885781,53.2144044,413541248,4,21.0
"Reinstorf, Hauptstraße",10.5723353,53.2342885,8716573169,8,21.0
Forsthaus,10.3455259,53.1658521,1509822736,6,9.0
"Barum, Abzweig Horburg",10.404422,53.353689,8717776249,14,11.0
"Barum, Am See",10.411604,53.3506593,9028751775,11,11.0
"Oerzen, Fliederstraße",10.327642,53.1921149,5239244504,6,10.0
Hohe Luft,10.4174102,53.1751221,2075922410,7,22.0
"Bavendorf, Im Dorfe",10.6393535,53.1958992,277404766,4,20.0
"Reinstorf, Am Vitusbach",10.5723556,53.2346506,109400356,6,19.0
Neumühlener Weg,10.5683419,53.289706,317549254,4,19.0
Möhlenkamp,10.5603385,53.2898973,728601562,7,19.0
Auf der Hausstelle,10.4764512,53.217232,2117470702,7,25.0
Feuerwehr,10.4695606,53.2158292,114244030,6,25.0
Ostlandring,10.4399979,53.242081,1736935361,5,42.0
Freibad,10.4423226,53.2409945,285670612,6,42.0
Kreuzkamp,10.4364118,53.286404,7087531166,0,
Robert-Koch-Straße,10.4528497,53.2840109,395382564,0,
Friedhof,10.4481389,53.2855037,178823219,1,17.0
Heinrich Heine Siedlung,10.464871,53.2786754,392592179,0,
An der Bünte,10.4601337,53.2803412,395382514,1,17.0
Heinrich-Hille-Straße,10.4428154,53.2861609,3082975140,2,17.0
Weinbergsweg,10.4327,53.2853082,1119349016,0,
"Radenbeck, Linnenkamp",10.6277678,53.2215393,339316060,2,20.0
"Radenbeck, Dorfstraße",10.6301273,53.224299,9029022165,5,20.0
Siedlung,10.5916573,53.2412736,8192691432,3,19.0
"Brietlingen, Am Sportplatz",10.436449,53.3191189,376360688,5,17.0
Goebelstraße,10.4167169,53.26866,3206896896,3,39.0
"Echem, Schulstraße",10.5430609,53.3376807,2681822369,5,19.0
Grüner Weg,10.432352,53.272947,301562204,0,
Lindenweg,10.4380841,53.2730333,301562172,0,
Otto-Brenner-Straße (Kehre),10.4837546,53.2364276,2362894581,5,30.0
"Brietlingen, Stettiner Ring",10.4441547,53.3134023,382011053,8,17.0
Sternkamp,10.4057395,53.2669292,7207493398,4,39.0
Kirchweg,10.436374,53.278698,288004885,1,32.0
Bunsenstraße,10.4412818,53.2495011,301881047,6,35.0
Bachstraße,10.4400425,53.2473918,275637762,6,35.0
Rosenkamp,10.3790788,53.2244958,369971304,10,23.0
Schmiedestraße,10.3767866,53.2247574,1602198371,4,23.0
Rehrweg,10.3725779,53.2263697,369971275,8,23.0
"Wittorf, Wiesenstraße",10.3800426,53.3322006,452899291,10,12.0
Volgershall/UNI,10.3840653,53.249349,382390323,7,33.0
Städtisches Klinikum,10.397306,53.2407753,113588289,6,52.0
"Lüdersburg, Kirchtwiete",10.5738389,53.3204039,489755257,9,19.0
Abzweigung Jürgenstorf,10.5951755,53.3304483,260371872,2,13.0
Melbeck Grundschule,10.404557,53.1787734,1524824915,4,3.0
Gifkendorf,10.5503194,53.1892645,294218205,1,21.0
B 209,10.4945384,53.3681692,297767103,4,5.0
Gerhart-Hauptmann-Straße,10.3395324,53.2463836,319171756,6,31.0
Händelstraße,10.3420038,53.2517922,355263024,12,16.0
Alter Postweg,10.3435316,53.2525452,355265900,8,16.0
Lessingstraße,10.3398479,53.2496234,357421278,10,31.0
Am Fuchsberg,10.3473817,53.2531473,359603064,11,33.0
Im Westerfelde,10.349476,53.2522281,336245617,14,33.0
Behördenzentrum (Ost),10.4313902,53.2509696,301866124,5,35.0
Psychiatrische Klinik,10.3880794,53.2543494,484379283,6,44.0
Am Bruch,10.3319859,53.3020685,386775036,12,4.0
Bei der Pferdehütte,10.4047332,53.2741646,1603400020,4,39.0
Alec-Moore-Straße,10.3812801,53.2465139,318656446,9,51.0
Am Bargenturm,10.3985975,53.2452478,89367284,19,51.0
Heidkoppelweg,10.4689526,53.2613986,318404239,4,36.0
Memeler Straße,10.4680489,53.2602671,318404242,13,36.0
William-Watt-Straße,10.38069,53.2448537,318656460,7,51.0
Allensteiner Straße,10.463416,53.2641335,281778288,8,17.0
"Erbstorf, Wendeplatz",10.4763614,53.2737862,275642168,0,
Jüttkenmoor,10.3849708,53.2479273,178849093,6,33.0
Am Ziegeleiteich,10.4720436,53.2599796,419272371,11,36.0
Ostlandstraße (Schule),10.3500738,53.2485861,357349548,12,31.0
Schnellenberger Weg,10.3639159,53.2477958,262620087,9,31.0
Ostlandstraße Spielplatz,10.3433004,53.2483843,357417529,7,31.0
Am Lerchenberg,10.3674726,53.2470042,336407095,6,31.0
Am Schwarzen Berg,10.3434432,53.2453669,5363848753,10,31.0
Steinweg,10.4425957,53.2755805,430344880,0,
Im Gutspark,10.4468141,53.286184,3082975156,0,
Virchowstraße,10.4469601,53.2814563,430344915,0,
Teichaue,10.449058,53.2865534,409100826,0,
Moorchaussee,10.4478643,53.2889918,312184964,0,
Kastanienallee,10.454844,53.2839238,3119436266,1,17.0
Katzenweg,10.4572671,53.2868678,3119436360,0,
Friedrich-Ludwig-Jahn-Straße,10.4083952,53.235035,7607589705,10,40.0
Rotes Tor,10.4097351,53.2437968,111246659,7,48.0
Goethestraße,10.4104754,53.2351006,195848633,13,40.0
Hagen Wendeplatz,10.4519518,53.2428075,208986248,0,
Hopfengarten,10.4278875,53.2510849,317279940,10,43.0
Wielandstraße,10.4108562,53.2377319,268638460,12,49.0
Hans-Steffens-Weg,10.4349723,53.2509447,120036482,8,35.0
Gaußstraße,10.4047485,53.222771,322053497,13,34.0
Heinrich-Böll-Straße,10.4039471,53.2267352,273712613,9,40.0
Carl-von-Ossietzky-Straße,10.4015929,53.2275296,275907714,3,34.0
Otto-Brenner-Straße,10.478437,53.2423045,3087504050,4,30.0
Flugplatz,10.4592049,53.2448717,119994939,4,30.0
Walter-Bötcher-Straße,10.4459578,53.2455633,373161853,8,35.0
Stadtkoppel,10.4492537,53.2461948,302304521,6,43.0
Kurt-Höbold-Straße,10.4778019,53.2402935,7043202191,5,30.0
Richard-Brauer-Straße,10.4429666,53.2447657,2843007891,2,35.0
Elso-Klöver-Straße,10.477347,53.2465791,3699972417,7,30.0
Gellersstraße,10.4300483,53.2478555,301866208,8,42.0
Wilhelm-Fressel-Straße,10.4760492,53.2390287,7043202216,4,30.0
Große Hof,10.3745541,53.1342237,5849955401,3,3.0
Abzw. Betzendorf,10.3727202,53.1351636,8526782425,5,3.0
Schildsteinweg,10.3914278,53.2407532,196043670,13,50.0
Bauerholzweg,10.3722547,53.1388961,976986466,10,3.0
Kampweg,10.382554,53.1578114,276968755,4,3.0
Wiesenweg,10.3829747,53.1602771,511089699,9,3.0
Mühlenberg,10.3710862,53.1423653,976986438,6,3.0
Bokenkamp,10.3636165,53.1457606,277261028,5,3.0
Finanzamt,10.4121817,53.2554488,302887839,4,38.0
Auf dem Schmaarkamp,10.4105509,53.2603115,313957909,3,39.0
Auf der Hude,10.4136152,53.2583328,1588318071,8,38.0
Tennispark,10.3849925,53.2598361,2041723022,4,44.0
Kiefernweg,10.3526052,53.2753237,1305577576,5,26.0
Brockwinkler Weg,10.3866216,53.256493,287098772,8,44.0
Dachtmisser Weg,10.3477471,53.2780348,286287619,9,26.0
Niendorfer Weg,10.4727397,53.2140252,703728543,4,25.0
Große Straße,10.4871138,53.3709802,7284444420,4,5.0
"Göddingen, Wöppenberg",10.7610009,53.2566452,311219666,4,8.0
"Göddingen, Am Fischteich",10.7642906,53.2535523,311219673,4,8.0
Neu Oerzen,10.3184746,53.1792981,7023976079,8,7.0
"Wendhausen, Im Ort",10.5670338,53.2506276,8708023922,3,19.0
"Melbeck, Gymnasium",10.4156375,53.1785399,8390221907,5,22.0
Ebstorfer Straße,10.4043018,53.1789627,1624952652,6,3.0
"Barendorf, Dorfstraße",10.5212258,53.2244543,185936322,6,30.0
Neu Häcklingen,10.4055348,53.2094134,1602107135,4,24.0
Am Rischpool,10.3791154,53.1810146,5234486266,4,9.0
Robert-Schumann-Straße,10.433913,53.2900786,942482191,0,
Königsberger Weg,10.4398725,53.2834046,387439300,1,38.0
Kornblumenweg,10.4327786,53.2876679,445774035,1,17.0
Röthenweg,10.4327278,53.2859085,302900001,0,
Zeltberg,10.4069669,53.2650556,313954414,4,39.0
Dorfplatz,10.3501768,53.2783682,7510268775,9,26.0
Am Stadtberg,10.3588328,53.2733993,287436861,14,26.0
Pumpenstation,10.3675583,53.2652064,4065795354,14,47.0
Friedhofsweg,10.3471319,53.2765812,286287601,7,26.0
Heimathaus,10.7250696,53.2951218,319992028,4,15.0
Marschweg,10.7201811,53.2971121,355298835,4,15.0
"Bleckede, Auf dem Kamp",10.7366005,53.2891135,275652358,2,8.0
Saatbau,10.7403748,53.2850418,319969924,2,8.0
Fähranleger,10.7342034,53.2977944,1801632891,4,15.0
Buendorf,10.7519136,53.1843834,1838158752,3,6.0
Quickborn,10.7529866,53.1861215,1432208149,8,6.0
"Nindorf bei Bleckede, L222",10.7428188,53.2618189,6445357812,6,8.0
"Bleckede, Dahlenburger Straße",10.741308,53.2790683,320064688,3,8.0
"Bleckede, Waldfrieden",10.7436216,53.2717076,319974894,2,8.0
"Neu Wendischthun, Abzweig",10.78729,53.3036952,747323812,0,
Neu Wendischthun,10.7761113,53.3050591,747323812,4,15.0
Vor der Westermarsch,10.3846317,53.2957478,566592806,6,12.0
"Artlenburg, Elbdeich",10.4826681,53.3751486,2307579589,8,5.0
Scharnebecker Straße,10.4479667,53.3317514,3019763968,11,5.0
"Rullstorf, Am Neetzekanal",10.5589707,53.2965617,3749693091,10,13.0
"Vastorf, Abzweigung Bahnhof",10.5499284,53.1989822,278806832,1,21.0
Denkmal,10.4432224,53.333012,1839897577,8,17.0
"Brietlingen, Ort",10.4452223,53.3302669,7623285536,4,17.0
"Walmsburg, Bruchdorfer Straße",10.8482356,53.2391409,2481243764,0,
"Garze, Große Straße 29",10.6950179,53.3072631,7611446379,3,15.0
"Nutzfelde, Am Walde",10.5173332,53.2686827,846062334,11,32.0
Vrestorfer Weg,10.4260987,53.2788106,2332372281,12,32.0
Thiessendörper Weg,10.3910124,53.2890091,393141179,5,12.0
Am Diemel,10.4009785,53.1803408,8479006739,8,3.0
Ätzberg,10.3949058,53.1774491,578361745,5,3.0
"Hittbergen, Roggenberg",10.5960677,53.3481539,2269708054,3,1.0
Südergellerser Weg,10.2524476,53.232284,301567834,9,14.0
Hauptstraße (L 216),10.2483036,53.2329848,571528159,11,14.0
Teufelsküche,10.384344,53.2382175,277251847,11,50.0
Im Dorfe,10.2918703,53.2313242,266917061,13,14.0
Neu Süttorf,10.6839508,53.2731495,3133820777,8,21.0
Am Dorfplatz,10.624862,53.2653005,322526004,3,20.0
"Sülbeck, An den Eichen (L 221)",10.56262,53.2652483,767341122,3,19.0
Bühringsmoor,10.3594187,53.2922837,566580956,3,18.0
Radbrucher Weg,10.3622233,53.2903712,8723627995,13,18.0
Wendeplatz,10.3564185,53.2938238,566580954,10,4.0
Witwenkamp,10.3650642,53.2891832,448194685,11,18.0
Ernst-Braune-Straße,10.388196,53.23946,319008950,9,50.0
"Hittbergen, Kirche",10.5892276,53.3445894,1277149593,2,1.0
Leuphana,10.4010697,53.2300356,5249245058,12,27.0
Ort,10.5142698,53.2520864,8526739908,1,35.0
"Neu Neetze, Am Milchberg",10.6495418,53.2888391,4363688126,2,15.0
"Neu Neetze, Birkenhof",10.6532373,53.2920806,1286093175,4,15.0
"Bleckeder Moor, Abzweigung",10.6580057,53.3008983,3751608111,3,15.0
"Karze, Auf dem Weel",10.6683701,53.3107637,1897714546,6,15.0
Große Straße 71,10.6846002,53.3088173,2406049718,1,15.0
Große Straße 3,10.7061658,53.3016323,2406049696,3,15.0
Lüner Rennbahn,10.4227875,53.2748865,346183826,7,32.0
Schlachthof,10.4249277,53.2727519,1330162044,0,
Auf den Blöcken,10.4613219,53.2384976,104072787,15,35.0
"Bleckede, Rathaus",10.7321198,53.2907814,274859677,0,
Töpferdamm,10.7250404,53.2938286,425907797,3,15.0
"Walmsburg, Kateminer Straße",10.8439138,53.2391182,386927750,4,8.0
"Barskamp, Markt",10.7837919,53.2441291,3324922587,2,8.0
"Bleckede, Elbweg",10.7518144,53.2846395,320862727,2,15.0
"Alt Garge, Waldbad",10.8044277,53.2580616,2936483856,2,8.0
Brennbusch,10.7549585,53.2817049,3112209667,4,15.0
Walmsburger Straße,10.7853326,53.2434432,3324922573,5,8.0
Turnhalle,10.7981006,53.265378,3371516337,4,8.0
"Bleckede, Schiedenitzweg",10.7416057,53.2800631,302553134,0,
Schieringen,10.8235273,53.2335364,2481243765,4,8.0
"Reeßeln, Abzweigung",10.8611674,53.2354658,1075586972,4,8.0
"Breetze, Bokelstraße",10.709379,53.2646484,2377705328,4,21.0
"Breetze, Ziegelei",10.7152808,53.270797,320131115,7,8.0
"Artlenburg, Ost",10.5042912,53.3679135,297191245,9,5.0
Bessemerstraße,10.4128482,53.2697777,2973160630,6,39.0
SZ Kaltenmoor,10.4362805,53.2390035,1459111220,16,41.0
Rettmer (Mitte),10.3697803,53.2139069,582819370,9,27.0
"Oerzen, Im Dorfe",10.3244054,53.1933078,5239344687,5,10.0
"Amelinghausen, Grundschule",10.2202329,53.1251788,668998388,23,
Kastanienweg,10.1700179,53.126874,1259355587,27,7.0
Dehnsener Straße,10.1920065,53.1252587,665485671,31,
"Amelinghausen, Kirche",10.2126403,53.1245595,668998388,20,9.0
Soltauer Straße,10.2084902,53.1247475,665485671,27,
Kloster Lüne,10.4233448,53.2609955,318077802,6,36.0
Nikolaihof,10.3954401,53.2915066,2298685630,7,18.0
DRK-Heim,10.4461997,53.2801254,270948120,2,32.0
Hasenburger Berg,10.3977854,53.2356105,395336856,8,29.0
Zentralfriedhof,10.3988728,53.2370178,268754159,8,29.0
Am Eiskeller,10.3850037,53.2362354,323190902,10,50.0
Auf dem Knieberg,10.3884282,53.2356314,305333659,12,50.0
Heidkamp,10.3931163,53.235028,2693352776,9,29.0
Meinekenhop,10.3876742,53.2375288,319010384,6,50.0
Ringstraße,10.38936,53.2358785,175237596,7,50.0
Soltauer Straße (Kurzentrum),10.4016865,53.241219,318900995,10,52.0
Sandfeld,10.7222326,53.2853563,4213538001,0,
Kurt-Löwenstein-Schule,10.7299436,53.2881094,2936448612,5,8.0
Clamartpark,10.4094815,53.2457263,3347854743,13,52.0
Hasenburger Schule,10.3973858,53.2331247,395336864,6,29.0
Rosenkamp Wendeplatz,10.3809308,53.2237159,374423407,12,23.0
Övelgönner Weg,10.3918692,53.2298285,469967662,7,29.0
Bahnhofstraße,10.380284,53.2910843,6926404073,9,18.0
St.-Nikolai-Straße (Schule),10.389031,53.2924355,430358199,4,12.0
Königsberger Straße,10.4086651,53.2627692,2988597647,4,39.0
Pieperstraße,10.3933335,53.2950296,2368355707,8,18.0
Am Graben,10.4180528,53.2668709,299750887,2,39.0
Böcklerstraße/TÜV,10.4098875,53.2716586,299750852,5,39.0
Eisenbahnbrücke,10.4189258,53.2623711,3957759599,3,39.0
Goseburgstraße,10.4181483,53.2646288,1754660733,5,39.0
Ilmenaucenter,10.4165325,53.2608424,181476668,2,39.0
Konrad-Zuse-Allee,10.4169116,53.2561248,268638530,7,38.0
Dorfstraße,10.4717328,53.2766905,401250060,1,
EDEKA,10.4232857,53.2813577,382366792,6,38.0
