name,passengers
Hagen Wendeplatz,0
Hopfengarten,10
Wielandstraße,7
Hans-Steffens-Weg,7
Gaußstraße,8
Heinrich-Böll-Straße,16
Carl-von-Ossietzky-Straße,8
Otto-Brenner-Straße,0
Flugplatz,5
Walter-Bötcher-Straße,8
Stadtkoppel,6
Kurt-Höbold-Straße,5
Richard-Brauer-Straße,3
Elso-Klöver-Straße,2
Gellersstraße,9
Wilhelm-Fressel-Straße,4
Große Hof,5
Abzw. Betzendorf,9
Schildsteinweg,0
Bauerholzweg,8
Kampweg,6
Wiesenweg,0
Mühlenberg,8
Bokenkamp,9
Finanzamt,0
Auf dem Schmaarkamp,0
Auf der Hude,7
Tennispark,9
Kiefernweg,12
Brockwinkler Weg,2
Dachtmisser Weg,10
Niendorfer Weg,2
Große Straße,6
"Göddingen, Wöppenberg",0
"Göddingen, Am Fischteich",4
Neu Oerzen,7
"Wendhausen, Im Ort",4
"Melbeck, Gymnasium",7
Ebstorfer Straße,2
"Barendorf, Dorfstraße",1
Neu Häcklingen,7
Am Rischpool,6
Robert-Schumann-Straße,0
Königsberger Weg,0
Kornblumenweg,0
Röthenweg,1
Zeltberg,5
Dorfplatz,5
Am Stadtberg,0
Pumpenstation,8
Friedhofsweg,9
Heimathaus,6
Marschweg,0
"Bleckede, Auf dem Kamp",0
Saatbau,3
Fähranleger,3
Buendorf,5
Quickborn,5
"Nindorf bei Bleckede, L222",0
"Bleckede, Dahlenburger Straße",5
"Bleckede, Waldfrieden",4
"Neu Wendischthun, Abzweig",4
Neu Wendischthun,3
Vor der Westermarsch,11
"Artlenburg, Elbdeich",8
Scharnebecker Straße,7
"Rullstorf, Am Neetzekanal",4
"Vastorf, Abzweigung Bahnhof",3
Denkmal,3
"Brietlingen, Ort",2
"Walmsburg, Bruchdorfer Straße",4
"Garze, Große Straße 29",2
"Nutzfelde, Am Walde",3
Vrestorfer Weg,5
Thiessendörper Weg,0
Am Diemel,6
Ätzberg,5
"Hittbergen, Roggenberg",6
Südergellerser Weg,9
Hauptstraße (L 216),8
Teufelsküche,11
Im Dorfe,11
Neu Süttorf,6
Am Dorfplatz,1
"Sülbeck, An den Eichen (L 221)",4
Bühringsmoor,0
Radbrucher Weg,14
Wendeplatz,1
Witwenkamp,17
Ernst-Braune-Straße,7
"Hittbergen, Kirche",4
Leuphana,6
Ort,7
"Neu Neetze, Am Milchberg",6
"Neu Neetze, Birkenhof",6
"Bleckeder Moor, Abzweigung",0
"Karze, Auf dem Weel",0
Große Straße 71,4
Große Straße 3,3
Lüner Rennbahn,4
Schlachthof,0
Auf den Blöcken,0
"Bleckede, Rathaus",3
Töpferdamm,6
"Walmsburg, Kateminer Straße",3
"Barskamp, Markt",2
"Bleckede, Elbweg",3
"Alt Garge, Waldbad",7
Brennbusch,6
Walmsburger Straße,5
Turnhalle,0
,6
"Bleckede, Schiedenitzweg",2
Schieringen,1
"Reeßeln, Abzweigung",2
"Breetze, Bokelstraße",2
"Breetze, Ziegelei",2
"Artlenburg, Ost",0
Bessemerstraße,10
SZ Kaltenmoor,15
Rettmer (Mitte),3
"Oerzen, Im Dorfe",6
"Amelinghausen, Grundschule",34
Kastanienweg,34
Dehnsener Straße,26
"Amelinghausen, Kirche",27
Soltauer Straße,29
Kloster Lüne,5
Nikolaihof,9
DRK-Heim,0
Hasenburger Berg,5
Zentralfriedhof,9
Am Eiskeller,8
Auf dem Knieberg,13
Heidkamp,11
Meinekenhop,8
Ringstraße,12
Soltauer Straße (Kurzentrum),13
Sandfeld,4
Kurt-Löwenstein-Schule,3
Clamartpark,12
Hasenburger Schule,7
Rosenkamp Wendeplatz,0
Övelgönner Weg,8
Bahnhofstraße,16
St.-Nikolai-Straße (Schule),10
Königsberger Straße,1
Pieperstraße,12
Am Graben,1
Böcklerstraße/TÜV,6
Eisenbahnbrücke,4
Goseburgstraße,1
Ilmenaucenter,4
Konrad-Zuse-Allee,17
Dorfstraße,0
EDEKA,8
Brockwinklerweg,0
"Wendewisch, Hittberger Straße 56",0
"Erbstorf, Feuerwehr",0
An der Roten Bleiche (Universität),13
Feldstraße (Universität),0
GHS Kreideberg,10
Herderschule,11
Spechtsweg,14
Abzweig Sommerbeck,0
Ehrenfriedhof,0
Kanalbrücke,18
Amselweg,7
Heinsen,1
Georg - Chors - Weg,9
"Boltersen, Bahnhofstraße",2
Im Ort,9
Neumühlen bei Rullstorf,6
Das Rote Feld,15
"Alt Garge, Hauptstraße",5
"Eimstorf, Ort",8
Alte Salzstraße,9
Artlenburger Landstraße,0
Bockelheide,0
"Wittorf, Birkenweg",10
Veilchenring,11
"Horburg, Im Winkel",10
"Horburg, Schule",7
"St. Dionys, Gotenweg",10
"Artlenburg, Hopfenhof",7
"Barförde, Barförder Elbdeich 22",7
"Dahlenburg, Mittelfeld",8
"Dahlenburg, Ehrenfriedhof",8
"Bockelkathen, Auf dem Kreuze",7
"Lüdersburg, Bachkoppelweg",7
"Rosenthal, Ortsmitte",2
"Bleckeder Moor, Zweiter Moorweg",4
"Karze, Am Rotdorn",2
"Neu Jürgenstorf, Ort",0
"Neu Jürgenstorf, Rosenthaler Weg",9
"Neu Neetze, Haus Nr. 50",0
"Garlstorf, Dorfstraße 36",4
"Garlstorf, Dorfstraße 68",3
"Radegast, Pferdekoppel",1
"Radegast, Zum Kirchplatz",2
"Radegast, Elbuferstraße 41",5
"Wendewisch, Hittberger Straße 59",4
"Wendewisch, Siedlung",4
"Barförde, Feuerwehr",6
"Barförde, Hinter den Höfen",0
"Garlstorf, Schmiede",2
"Bullendorf, Brücke",10
"Hittbergen, Feldstraße",3
"Hittbergen, Im Kamp",9
"Hittbergen, Schönfeld",4
Wennekath 5,3
Wennekath 8,4
Süttorf,5
Neu Bleckede,4
"Dahlenburg, Fliederweg",6
"Lemgrabe, An der Kleinbahn",3
Birkenhof,4
"Ellringen, Ellringer Neetzetal",7
Klein Sommerbeck 15,5
"Wiecheln, Abzweig K 26",0
"Barskamp, Hohe Luft",10
Feldstraße,11
"Radbruch, Peerort",12
"Echem, Dorfstraße",8
"Marienthal, Alte Salzstraße",2
"Radbruch, Mühle",11
"Radbruch, Wittorferweg",10
"Bardowick, Wendeplatz",11
Hamburger Landstraße,7
"Artlenburg, Mühle",9
"Dachtmissen, Waldweg",14
"Wittorf, Hauptstraße",9
"Wittorf, Brücke",8
"Wittorf, Neulander Weg",7
"Handorf, Mühle",8
"Handorf, Ortsmitte",9
"Vastorf, Gifkendorfer Straße",10
"Vastorf, Bahnbrücke",2
"Horndorf, Kreuzung B 216",3
"Rohstorf, Ort",0
Volkstorf,3
Schule B,6
"Ellringen, Kettelberg",6
"Neetze, Am Ried",4
"Neu Jürgenstorf, Ahrenschulter",3
"Rosenthal, L 219",5
Vogelsang 11,3
"Vogelsang, Ort",6
"Bleckeder Moor, Heidmoor",0
"Bleckeder Moor, Fuchsweg",4
"Garlstorf, Neu Brackede",2
"Brackede, Abzweig Garlstorf",3
"Barförde, Poggenort",0
"Barförde, Elbdeich 15",14
Kirchgellerser Straße,8
"Südergellersen, Stähwiesen",7
"Kirchgellersen, Grundschule",9
Dachtmisser Straße,14
"Amelinghausen, Bahnhof",23
Tartuer Platz,9
"Wendhausen, Wendenstraße",2
"Holzen, Op dan Brink",6
"Neu Neetze, Denker",7
"Gienau, Wiebecker Straße",4
Groß Sommerbeck 3,4
"Neu Neetze, Tennisclub",4
Konrad-Adenauer-Straße Ost,9
